0001_American_Beauty_00.47.06.183-00.47.08.363 	he grabs hold of his knees and bends over, panting.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.46.49.920-00.46.56.950 	pippin clambers over a rocky ledge and ducks behind a stone wall panting heavily.
0027_The_Big_Lebowski_01.44.02.545-01.44.05.217 	the dude, also panting, rises and trots over.
0031_The_Lost_Weekend_01.29.52.168-01.29.53.423 	don is panting hard, completely oblivious of the fact that helen is in the room.
0049_Hannah_and_her_sisters_00.17.14.363-00.17.19.608 	he starts to pant, looking worriedly around the room.
0049_Hannah_and_her_sisters_00.17.26.607-00.17.41.683 	he pants and begins to pace around the room.
0049_Hannah_and_her_sisters_01.36.05.685-01.36.11.120 	a close-up of a nervous, perspiring, and panting mickey alone in his apartment appears on the screen as his voice is heard.
1005_Signs_00.37.52.376-00.37.58.632 	panting and keeping his eyes fixed intently on the maize.
1057_Seven_pounds_01.44.13.768-01.44.23.903 	tim sits on the edge of his bed, panting.
2017_Bad_Santa_00.06.19.741-00.06.23.574 	he is covered in sweat and panting like an asthmatic.
2017_Bad_Santa_00.16.35.726-00.16.45.519 	through the heat ripples rising off the pavement two mirage- like figures cross the infinite asphalt of the saguaro square mall parking lot -- willie and marcus in santa and elf regalia, sweating and panting in the heat.
2027_Les_Miserables_00.39.39.877-00.39.40.372 	close on two horses panting.
2027_Les_Miserables_01.08.16.427-01.08.33.024 	still running with gavroche as he hops onto the back of another very grand carriage, the traffic now moving at last, hitching a ride on the back - one or two of his gang hop on back of carriage with him, the others run panting after to hear his political lecture.
