30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS281 	01:05:21,00 --> 01:05:27,50 	he heads towards a giant framed michigan lottery check adorning the wall.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS422 	00:41:08,00 --> 00:41:14,50 	the open doors frame someone, someone and someone as they wait.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS380 	00:53:22,00 --> 00:53:31,50 	now, a window reflects burning candles and frames someone and someone as they walk up to the house.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS243 	00:40:26,00 --> 00:40:31,50 	a framed photo shows someone with someone.
BLINDDATING.srt 	BLINDDATING_DVS283 	01:10:53,00 --> 01:11:05,50 	now, someone's shaved temple lies framed by surgical clothes.
BURLESQUE.srt 	BURLESQUE_DVS91 	00:10:09,00 --> 00:10:14,50 	the posed dancers frame the smiling diva.
BURLESQUE.srt 	BURLESQUE_DVS113 	00:15:13,00 --> 00:15:24,50 	the image revolves, framed in light bulbs like a dressing-room mirror.
BURLESQUE.srt 	BURLESQUE_DVS155 	00:22:08,00 --> 00:22:14,50 	someone paces to a framed photo of her burlesque troupe.
CHRONICLE.srt 	CHRONICLE_DVS247 	00:35:55,00 --> 00:36:01,50 	now in a library, the camera frames someone and someone.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS78 	00:14:37,00 --> 00:14:45,50 	plucked chickens hang in the window which frames a view of someone handing the salami over a counter to a butcher.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS164 	00:35:29,00 --> 00:35:36,50 	a knit cap frames his flushed complexion.
COLOMBIANA.srt 	COLOMBIANA_DVS80 	00:05:41,00 --> 00:05:50,50 	someone turns over a framed family photo, removes a computer chip from under a piece of tape, then opens a drawer and rifles through it.
COLOMBIANA.srt 	COLOMBIANA_DVS614 	00:58:14,00 --> 00:58:21,50 	he frames his crotch with his hands then hurries over and belly flops onto the bed.
DEAR_JOHN.srt 	DEAR_JOHN_DVS641 	01:27:20,00 --> 01:27:25,50 	where several framed photographs stand.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS159 	00:37:48,00 --> 00:38:02,50 	someone puts down the framed photo.
DINNER_FOR_SCHMUCKS.srt 	DINNER_FOR_SCHMUCKS_DVS448 	01:49:09,00 --> 01:49:15,50 	framed in a window, the eiffel tower lit up in the night sky.
DISTRICT_9.srt 	DISTRICT_9_DVS869 	01:44:27,00 --> 01:44:32,50 	a framed wedding photo stands nearby.
