0004_Charade_00.18.18.653-00.18.25.798 	addressing reggie this time.
0006_Clerks_00.38.12.569-00.38.23.761 	a series of people addressing the camera, asking the dumb questions.
0006_Clerks_00.45.22.383-00.45.24.752 	dante skids back to the sidelines to address the customer.
0016_O_Brother_Where_Art_Thou_00.41.17.521-00.41.19.725 	a sad-faced woman in a calico dress addresses the clerk.
0016_O_Brother_Where_Art_Thou_00.58.17.753-00.58.19.852 	on a bunting-covered stage a pencil- necked man with round rimless glasses addresses a crowd of rustics.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.26.35.785-01.26.43.929 	elrond addresses the council.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.29.29.788-01.29.35.424 	boromir addresses the council in a quiet voice.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.59.29.631-00.59.31.156 	denethor addresses his meal.
0027_The_Big_Lebowski_01.42.00.685-01.42.08.106 	walter ignores the dude, addresses the germans.
0046_Chasing_Amy_01.07.17.848-01.07.21.094 	in the parking lot of food city, addressing the camera.
1010_TITANIC_02.07.57.242-02.07.59.569 	a steward addresses them.
1010_TITANIC_02.10.29.515-02.10.32.975 	at the top, a steward addresses a small crowd from behind a locked gate.
1014_2012_02.18.14.960-02.18.20.950 	kate gapes and stares into the blackness as tenzen addresses his family.
1027_Les_Miserables_01.28.37.532-01.28.38.385 	it's addressed to marius.
1027_Les_Miserables_01.52.21.510-01.52.24.354 	enjolras addresses the group.
1028_No_Reservations_00.45.41.600-00.45.43.156 	a waiter addresses the kitchen.
1030_Public_Enemies_00.29.41.907-00.30.17.366 	purvis paces, then addresses his assembled task force.
1030_Public_Enemies_02.00.48.007-02.01.07.283 	outside, purvis addresses his agents.
1035_The_Adjustment_Bureau_01.14.22.690-01.14.30.784 	later, in front of a barn and silos, he addresses a crowd.
1037_The_Curious_Case_Of_Benjamin_Button_00.49.05.558-00.49.07.940 	the waiter addresses benjamin.
1037_The_Curious_Case_Of_Benjamin_Button_02.31.31.922-02.31.35.568 	now in her late 60s, daisy addresses the cab driver.
1047_Defiance_00.00.27.071-00.00.32.511 	over the sound of adolph hitler addressing a rally.
1047_Defiance_00.32.23.943-00.32.25.053 	the tall stranger addresses him.
1047_Defiance_01.00.17.301-01.00.23.250 	tuvia addresses two women in the room.
1047_Defiance_01.02.05.793-01.02.07.525 	shimon addresses an elderly man.
1047_Defiance_01.12.09.268-01.12.10.474 	lazar addresses those present.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.53.33.269-00.53.40.675 	yaxley a death eater with a fair pigtail addresses ron.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.46.47.025-01.46.51.268 	she addresses harry.
1051_Harry_Potter_and_the_goblet_of_fire_00.15.09.677-00.15.14.791 	harry addresses an envelope to his godfather, sirius black.
1051_Harry_Potter_and_the_goblet_of_fire_00.21.33.364-00.21.37.392 	mr. crouch nervously addresses the students.
1051_Harry_Potter_and_the_goblet_of_fire_01.51.01.121-01.51.09.745 	standing in front of a tall hedge, dumbledore addresses the crowd.
1052_Harry_Potter_and_the_order_of_phoenix_00.24.18.000-00.24.24.345 	dumbledore sighs and addresses the members of the jury.
1052_Harry_Potter_and_the_order_of_phoenix_00.53.55.324-00.54.03.416 	hermione addresses around 20 students.
1056_Rambo_00.11.27.120-00.12.00.800 	the commander addresses the village.
1056_Rambo_00.14.54.344-00.15.10.454 	in the morning light, on rambo's boat as it motors along the river, michael addresses his party.
1057_Seven_pounds_00.11.06.508-00.11.20.444 	ben addresseses colleagues in a small conference room at apogee aeronautics.
1058_The_Damned_united_00.55.46.169-00.55.47.649 	brian addresses the press assembled in the tunnel of juve's comunale stadium.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.29.49.000-00.29.57.063 	aberforth stares at harry, then addresses the portrait.
