0006_Clerks_00.10.12.243-00.10.17.237 	veronica jumps off the freezer case, training the nozzle of the extinguisher on the activist.
0013_Halloween_00.37.12.182-00.37.13.464 	he trains his flashlight on a small object in the corner of the room.
0016_O_Brother_Where_Art_Thou_00.30.43.494-00.30.45.616 	various police vehicles have pulled up facing the barn, and armed men, their backs to us, train guns on it, some taking cover on the near side of their parked cars.
0020_Raising_Arizona_01.23.08.150-01.23.09.257 	keeping the gun trained on hi and ed, he slowly raises a pair of eyeglasses to his nose.
0021_Rear_Window_00.39.15.585-00.39.16.585 	jeff keeps his eyes trained on the window.
0021_Rear_Window_00.46.46.486-00.46.47.986 	jeff reaches quickly for his binoculars, and trains them on the salesman's apartment.
0021_Rear_Window_01.07.27.599-01.07.33.093 	he picks up the long-focus lens and trains it on the street intersection, as lisa moves back to him.
0021_Rear_Window_01.38.14.205-01.38.15.721 	jeff quickly picks up the long-focus lens and trains it on the salesman's apartment.
0021_Rear_Window_01.51.03.866-01.51.06.676 	the siffleuse and her husband are on their fire escape, training a new white dog to ride in their basket.
0050_Indiana_Jones_and_the_last_crusade_00.05.58.336-00.06.00.765 	he leaps from horse to train.
1018_Body_Of_Lies_00.01.49.000-00.01.52.605 	officers train their automatic weapons on the front of the terraced house.
1030_Public_Enemies_01.34.28.478-01.34.39.819 	red trains his puffy, exhausted eyes on dillinger.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.23.03.823-01.23.11.733 	the music is broadcast over a speaker into the yard, where watson cowers in the darkness as moran keeps a rifle trained from a walkway high up on the tower.
1035_The_Adjustment_Bureau_01.13.20.149-01.13.22.798 	harry's gaze stays trained ahead.
1043_Vantage_Point_00.51.28.515-00.51.34.181 	he trains the pistol on the president, who cowers in a corner.
1043_Vantage_Point_00.58.56.635-00.59.02.150 	sam uses the wand to train the rifle on ashton's double.
1048_Gran_Torino_00.26.20.911-00.26.22.737 	walt keeps the gun trained on them as they go.
2005_Signs_01.23.15.717-01.23.24.855 	he trains the beam .
2026_Legion_00.04.08.004-00.04.11.098 	trench coat and a shirt back on, michael races along the endless racks of guns, searching for just the right weapons, his every movement precise, as if he's trained his whole life for this.
