0003_CASABLANCA_00.25.55.574-00.26.01.915 	laszlo takes the chair opposite and surveys the room.
0006_Clerks_00.09.46.517-00.09.47.263 	veronica enters and surveys the mess.
0011_Gandhi_00.34.34.351-00.34.34.680 	full shot, the sergeant wheeling his horse, angrily -- surveying the whole of the procession as they lie sprawled on the ground, his mounted police circling in front of them, not knowing what to do.
0011_Gandhi_01.11.53.380-01.11.58.027 	the magistrate (english) is surveying the courtroom; he signals his clerk (english) to him.
0011_Gandhi_01.31.21.620-01.31.22.986 	he is surveying the wall in the now empty park numbly, desolately.
0017_Pianist_00.53.07.793-00.53.16.601 	szpilman enters, stands, surveying the devastation.
0017_Pianist_01.02.31.771-01.02.36.879 	the ss captain, with much jollity and jokes, hops up on to scaffolding and stands, beaming broadly, surveying the workers.
0023_THE_BUTTERFLY_EFFECT_01.21.46.528-01.21.48.024 	evan surveys the scene in shock.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.09.06.093-00.09.09.206 	gandalf as he surveys the peaceful scene before him.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.34.00.233-02.34.02.372 	gimli as he surveys the army of mordor.
0053_Rendezvous_mit_Joe_Black_00.16.01.140-00.16.16.019 	leaning against the back of the couch, he stares out through floor-to-ceiling windows, surveying the manhattan skyline: cogitates.
0053_Rendezvous_mit_Joe_Black_00.31.55.693-00.32.00.384 	he surveys the young man who, at this moment, actually seems bewildered by his effect.
0053_Rendezvous_mit_Joe_Black_00.34.34.541-00.34.48.483 	parrish and the young man appear at the table, an awkward pause ensues, the unannounced guest's presence at a family dinner being noted, and the guest himself carefully surveyed.
1010_TITANIC_03.00.25.268-03.00.29.411 	she glances up at cal's back as he surveys the passengers.
1020_Crazy_Stupid_Love_01.11.05.050-01.11.18.333 	he surveys it, studying the bar and various men and women chatting and flirting with one another.
1031_Quantum_of_Solace_01.24.26.399-01.24.33.175 	the general, police chief and guard sit on a cool balcony surveying the arid scene.
1042_Up_In_The_Air_00.54.23.071-00.54.26.335 	they turn around and survey the scene.
1047_Defiance_00.33.27.946-00.33.30.664 	with his machine gun over his shoulder, he takes a step backwards and surveys the group, his face angry and dismayed.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.14.09.240-00.14.13.743 	they both survey the six harry potter lookalikes.
1058_The_Damned_united_00.55.16.930-00.55.27.779 	longson stalks angrily down the corridor, past the away dressing room, to stand beside a hangdog brian surveying his battered team.
2026_Legion_00.12.38.650-00.12.47.654 	kyle gets out and surveys the scenery with dismay.
2026_Legion_00.37.41.066-00.37.45.990 	he surveys the diner, the garage, the roof -- assessing the situation.
