21_JUMP_STREET.srt 	21_JUMP_STREET_DVS92 	00:12:00,00 --> 00:12:07,50 	an older african-american police officer wearing a badge on one hip
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS142 	00:22:52,00 --> 00:22:59,50 	they notice every student around them wearing their backpacks strapped to both shoulders.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS147 	00:23:22,00 --> 00:23:27,50 	other girls wear kooky harajuku fashions.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS390 	01:06:09,00 --> 01:06:14,50 	someone wears his peter pan costume.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS394 	01:06:41,00 --> 01:06:45,50 	he wears a decorated hoodies.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS521 	01:21:52,00 --> 01:21:58,50 	wearing shoulder holsters, they ready their handguns.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS307 	01:10:11,00 --> 01:10:30,50 	now our view rises from one the van's headlights to someone, who drives with a determined look in his eyes, wearing his chimpanzee mask.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS13 	00:02:52,00 --> 00:03:04,50 	wearing a grey smart tech polo shirt, someone nods to a tall woman with short blonde hair.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS43 	00:19:59,00 --> 00:20:07,50 	now with the guys at smart tech, someone wears a butter-colored polo shirt.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS59 	00:04:08,00 --> 00:04:15,50 	she chains the bike to a post, and wearing a helmet, strides towards the entrance to an apartment building.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS74 	00:09:53,00 --> 00:09:58,50 	wearing headphones, someone enters a lift.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS348 	01:03:20,00 --> 01:03:26,50 	someone, wearing his suit, spots someone wearing a knee-length pale dress.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS348 	01:03:20,00 --> 01:03:26,50 	someone, wearing his suit, spots someone wearing a knee-length pale dress.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS420 	01:11:47,00 --> 01:11:55,50 	someone trudges into the office wearing shades.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS478 	01:19:48,00 --> 01:19:51,50 	he is wearing a suit
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS504 	01:21:37,00 --> 01:21:42,50 	someone wearing his suit, reaches pavement level on an escalator.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS510 	01:21:59,00 --> 01:22:03,50 	wearing a dark skirt and a raincoat.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS443 	00:42:42,00 --> 00:42:48,50 	she wears a pale blouse and skirt.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS675 	01:09:21,00 --> 01:09:30,50 	wearing hazmat suits, her men feed hoses into the vault as others enter with flashlight-mounted spraying devices.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS29 	00:07:38,00 --> 00:07:47,50 	inside an open sided pavilion chanting people wearing white clothing sit on the ground with their legs crossed and eyes closed.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS46 	00:13:27,00 --> 00:13:39,50 	carrying a vase of pink flowers, someone steps into a retirement home cafeteria, where people wear mexican themed apparel.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS47 	00:14:31,00 --> 00:14:36,50 	a man wearing a sombrero dances.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS111 	00:27:22,00 --> 00:27:29,50 	later, wearing a suit, someone steps through the house.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS141 	00:29:35,00 --> 00:29:40,50 	a man wearing sunglasses steps up to someone.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS485 	01:22:49,00 --> 01:22:54,50 	someone walks in wearing white robes and sandals.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS28 	00:02:47,00 --> 00:02:56,50 	he wears a top hat and sunglasses.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS131 	00:15:46,00 --> 00:15:54,50 	wearing his sunglasses, someone's new mentor stops at a tree and gazes up the towering trunk.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS200 	00:27:17,00 --> 00:27:24,50 	wearing a tuxedo with his stovepipe hat, someone follows someone into a mansion.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS332 	00:47:28,00 --> 00:47:32,50 	wearing his top hat and overcoat.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS363 	00:51:37,00 --> 00:51:43,50 	someone rides inside wearing a veil.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS458 	01:05:30,00 --> 01:05:38,50 	someone slips into a bedroom where someone wears a union uniform as he plays with toy soldiers.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS490 	01:08:27,00 --> 01:08:33,50 	before him, the lifeless child wears a dark suit.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS558 	01:18:03,00 --> 01:18:09,50 	wearing his broad-brimmed hat, someone leans forward, his hands on a table.
BAD_TEACHER.srt 	BAD_TEACHER_DVS178 	00:49:45,00 --> 00:49:51,50 	in the auditorium someone wears a curly red wig.
BAD_TEACHER.srt 	BAD_TEACHER_DVS193 	00:53:45,00 --> 00:53:50,50 	someone wears someone's wig.
BAD_TEACHER.srt 	BAD_TEACHER_DVS247 	01:07:32,00 --> 01:07:47,50 	both wear jeans.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS128 	00:19:03,00 --> 00:19:09,50 	someone wears argyle knee socks, a prairie skirt, and a yellow sweater.
