0005_Chinatown_00.26.52.090-00.26.55.613 	after a moment, the gardener drops the long probe, the waters recede.
0007_DIE_NACHT_DES_JAEGERS_00.21.41.172-00.21.41.925 	the children recede towards the river in background.
0007_DIE_NACHT_DES_JAEGERS_00.27.34.069-00.27.36.276 	it stands vibrating, then moves out of shot with receding engine sound o.s., disclosing: icey's skirts in background.
0010_Frau_Ohne_Gewissen_00.28.59.450-00.29.04.739 	their heads touch, side by side, the camera slowly starts to recede as we.
0016_O_Brother_Where_Art_Thou_00.56.00.898-00.56.08.280 	looking up, into black: a rope is tossed up - it recedes out of the torchlight into black night - and then drops back down into the light, a noose bouncing at its end.
0020_Raising_Arizona_00.04.51.915-00.04.52.577 	the mopping con turns to watch him recede.
0020_Raising_Arizona_00.28.45.063-00.28.46.371 	the roar of his engine and clank of his chains recede as the biker gradually dissolves into thin air.
0020_Raising_Arizona_00.33.22.473-00.33.23.010 	it grows louder, then begins to recede as the bike shoots by the station.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.50.35.885-02.50.41.196 	frodo's face as the fiery volcano recedes away beneath him.
0027_The_Big_Lebowski_00.30.48.829-00.30.52.226 	we see the receding bowler spinning away.
1010_TITANIC_02.55.46.528-02.55.49.195 	rose trembles as she watches it recede.
1034_Super_8_01.42.55.892-01.43.01.342 	as they watch it recede into the distance, joe and alice hold hands.
1038_The_Great_Gatsby_02.02.33.668-02.02.35.327 	the buchanan mansion recedes into the distance.
1038_The_Great_Gatsby_02.09.44.440-02.09.50.412 	the art deco screen slowly recedes occupying the black space.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.47.32.000-00.47.38.789 	having confronted harry, she recedes, floating away from him.
2017_Bad_Santa_00.31.55.303-00.32.02.513 	at the cut a new mercedes screeches through the frame and, as we hear it recede, we are left looking at the kid, who stands at the curb, waving happily.
