0017_Pianist_00.33.16.340-00.33.17.054 	heller glances round.
0017_Pianist_01.46.25.970-01.46.27.827 	a horse-drawn cab rounds a corner and clatters down the street.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.21.37.012-00.21.41.085 	he rounds on pippin.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.24.04.559-00.24.06.194 	gandalf rounds on theoden.
0026_The_Big_Fish_00.20.19.354-00.20.19.905 	the crowd cheers the swing, and especially the batter as he rounds the bases.
0028_The_Crying_Game_01.08.32.477-01.08.34.289 	fergus walks round the scaffolding.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.07.50.760-01.07.51.845 	luna with a knee-length tiered dress of pale pink silk, with chiffon ruffles round the neckline, skirt, and sleeves.
1003_How_to_Lose_Friends_and_Alienate_People_00.37.16.038-00.37.17.389 	sidney zips up his fly as he rounds a corner into a white- walled corridor.
1005_Signs_01.39.06.602-01.39.09.204 	merrill swings round.
1010_TITANIC_02.03.30.206-02.03.32.872 	a dark-haired steward rounds the corner.
1014_2012_00.17.19.210-00.17.43.244 	jackson's limo rounds a corner on the way to yellowstone national park.
1030_Public_Enemies_01.24.23.520-01.24.26.186 	meanwhile, winstead rounds past a tree.
1030_Public_Enemies_01.58.23.620-01.58.28.204 	dillinger rounds a corner and spies a group of agents around the radio.
1031_Quantum_of_Solace_00.03.21.720-00.03.23.468 	both cars swerve round it.
1034_Super_8_01.35.51.909-01.35.54.121 	cary rounds the corner.
1035_The_Adjustment_Bureau_00.56.09.922-00.56.16.009 	elise jumps up and down, pumping her hands round his head.
1037_The_Curious_Case_Of_Benjamin_Button_00.01.25.460-00.01.26.800 	the nurse rounds the bed to daisy's iv drip.
1037_The_Curious_Case_Of_Benjamin_Button_01.21.01.635-01.21.04.196 	mike flinches as the german rounds shatter the windows.
1038_The_Great_Gatsby_01.26.00.315-01.26.03.139 	photographers crowd round a car.
1041_This_is_40_01.52.59.517-01.53.02.294 	sadie rounds the corner.
1043_Vantage_Point_00.28.14.135-00.28.20.852 	enrique rounds a corner, holden and another agent in pursuit.
1043_Vantage_Point_01.02.05.605-01.02.07.149 	another agent rounds the corner.
1043_Vantage_Point_01.14.58.621-01.15.02.523 	as barnes rounds the corner, the truck smashes into the hatchback.
1046_Australia_01.09.06.179-01.09.09.005 	nullah rounds up a lone steer which strays off.
1047_Defiance_01.31.20.608-01.31.25.137 	arkady glances round at the fearful expressions of the rest of the people.
1047_Defiance_01.40.25.883-01.40.26.969 	people crowd round the blond head german
1053_Harry_Potter_and_the_philosophers_stone_00.56.39.159-00.56.43.795 	the broom swings him round in circles and crashes into the side of a stone tower.
1056_Rambo_00.22.50.981-00.23.04.157 	michael rounds on rambo.
1056_Rambo_00.41.00.830-00.41.04.364 	on the river, the boat rounds a promontory.
1060_Yes_man_01.10.39.442-01.10.43.897 	everyone ducks as she swings round with the gun.
1060_Yes_man_01.23.33.690-01.23.36.719 	carl taps him on his left shoulder and leans round to his right.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.02.04.174-01.02.06.865 	they swing their brooms round.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.45.42.189-01.45.59.002 	as he scrabbles away, strips of voldemort's black cloak twist round his wrists and neck, restraining him.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.53.00.437-01.53.02.649 	hermione glances round at ron, and they exchange a look.
2027_Les_Miserables_01.01.44.533-01.01.44.693 	valjean looks round.
2027_Les_Miserables_02.07.57.749-02.08.00.595 	the seine forms a whirlpool here, where violent currents swirl round the piles of the bridge.
2027_Les_Miserables_02.24.06.054-02.24.06.736 	valjean looks round.
