0003_CASABLANCA_00.05.51.972-00.05.54.017 	as they acknowledge each other, captain tonelli barges in front of casselle and salutes strasser.
0011_Gandhi_00.42.56.615-00.42.59.761 	she joins her hands, acknowledging a garland placed around her shoulders, and pushes on after gandhi.
0011_Gandhi_00.56.43.820-00.56.44.430 	gandhi nods to him and acknowledges the residue of applause.
0011_Gandhi_01.35.15.122-01.35.16.176 	the indian side acknowledges chelmsford's disclaimer -- coolly, but accepting it.
0011_Gandhi_01.38.30.678-01.38.38.313 	there is applause and noise, but ba does not acknowledge it; she simply sits cross-legged behind gandhi, who is talking with patel and nehru.
0016_O_Brother_Where_Art_Thou_00.55.30.910-00.55.34.519 	the two men acknowledge by backing away from pete.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.28.24.538-02.28.28.105 	a moment of eye contact between frodo and sam as they acknowledge what lies ahead.
0029_The_Graduate_00.21.35.714-00.21.41.735 	they laugh; mrs. arnold makes a face at mr. arnold as he grinningly acknowledges the reponse to his snappy comeback.
0033_Amadeus_01.46.51.724-01.46.55.036 	orsini-rosenberg acknowledges his defeat.
0053_Rendezvous_mit_Joe_Black_00.32.54.751-00.33.06.500 	parrish ignores her at first, finally he looks at luisa then at the young man, then once more at both of them as if to verify the young man's presence has been acknowledged by luisa.
1002_Harry_Potter_and_the_Half-Blood_Prince_00.30.19.389-00.30.22.686 	professor slughorn in gown and mortarboard acknowledges the applause.
1007_Spider-Man1_00.52.49.333-00.52.53.404 	he acknowledges her presence with a hint of a smile.
1014_2012_01.28.19.417-01.28.22.312 	he acknowledges her salute
1028_No_Reservations_01.39.57.391-01.40.05.740 	a joyful zoe leaves the trio to their breakfasts and passes back around the corner of the restaurant, acknowledging an elderly man who considers a leaflet.
1035_The_Adjustment_Bureau_01.38.44.842-01.38.46.538 	he acknowledges them amiably touching the brim of his hat.
1047_Defiance_01.13.40.133-01.13.42.520 	and walks past malbin without acknowledging him.
1049_Harry_Potter_and_the_chamber_of_secrets_02.30.56.893-02.30.59.151 	he clenches his fists and raises his hands above his head acknowledging the applause.
