0001_American_Beauty_01.51.47.013-01.51.51.786 	instantly, the tile is sprayed with blood, the same deep crimson as the roses.
0019_Pulp_Fiction_01.37.40.731-01.37.46.618 	maynard steps in with a fire extinguisher and sprays both guys until they're wide awake and wet as otters.
0023_THE_BUTTERFLY_EFFECT_00.32.49.800-00.32.52.783 	tommy smiles viciously at lenny, traumatized to watch tommy pick up the lighter fluid and spray a liquid fuse from the campfire to the soaked gunny sack.
0043_Thelma_and_Luise_00.22.16.996-00.22.20.084 	louise hops in and thelma peels out, spraying gravel.
0050_Indiana_Jones_and_the_last_crusade_00.51.19.021-00.51.21.880 	he turns and sprays the room with machine gun fire, cutting all three nazis to ribbons and blowing them backwards across the room.
1001_Flight_00.04.19.453-00.04.22.386 	opens his mouth and sprays some mouth freshener.
1004_Juno_00.33.06.635-00.33.11.861 	picking up a bottle of perfume, she sniffs it and sprays her wrist, rubbing it against the other wrist.
1019_Confessions_Of_A_Shopaholic_00.02.31.360-00.02.34.601 	she sprays on perfume.
1023_Horrible_Bosses_00.08.12.445-00.08.14.247 	she sprays dale's crotch.
1024_Identity_Thief_01.23.03.228-01.23.04.812 	then, sprays her hair.
1030_Public_Enemies_01.27.07.641-01.27.11.924 	outside fbi gunfire sprays a balcony.
1041_This_is_40_00.03.14.969-00.03.19.138 	she pats her face and hands with a wipe, then sprays herself with perfume.
1041_This_is_40_00.35.56.772-00.36.01.818 	he sprays the boys with a hose.
1046_Australia_02.22.02.916-02.22.06.904 	hoses spray water on the fires.
1052_Harry_Potter_and_the_order_of_phoenix_01.17.54.390-01.17.58.299 	she sprays herself with perfume, then sprays a cross on the cottage door.
1062_Day_the_Earth_stood_still_00.22.28.140-00.22.29.738 	red blood sprays helen's visor.
2026_Legion_00.57.59.341-00.58.01.855 	and that's when the speed accelerates to normal his howard's body explodes and spraying streams of dark fluid toward sandra.
2026_Legion_01.10.30.071-01.10.37.581 	and that's when he starts spraying gas at them.
2041_This_is_40_00.35.54.126-00.35.57.269 	larry prepares to spray the kids with the hose.
2041_This_is_40_00.35.57.269-00.36.03.902 	larry sprays him with the hose.
