0004_Charade_00.26.19.970-00.26.23.518 	punch and judy are arguing loudly.
0016_O_Brother_Where_Art_Thou_00.49.30.945-00.49.34.409 	he thus reveals a cream-colored eyepatch with powder-blue trim; his good eye is looking intently off - at everett and delmar, who continue arguing, out of earshot.
0021_Rear_Window_01.51.37.582-01.51.39.810 	the newlyweds are arguing.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.03.02.732-01.03.06.614 	too exhausted to argue, sam turns away.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.18.39.349-02.18.50.589 	to reveal the orc and uruk-hai, gorbag and shagrat, arguing over frodo's belongings and clothes!
0049_Hannah_and_her_sisters_01.02.18.225-01.02.40.204 	mickey and holly, almost in dark silhouette, are walking at a fast clip along the sidewalk, arguing.
1003_How_to_Lose_Friends_and_Alienate_People_00.07.13.661-00.07.18.539 	he hears the phone ringing, and staff arguing in the next room.
1029_Pride_And_Prejudice_Disk_One_00.02.27.353-00.02.38.334 	now approaching her house, longbourn, she bypasses the entrance when she hears her sisters arguing inside.
1031_Quantum_of_Solace_01.16.25.182-01.16.27.730 	people queue for water and argue amongst themselves.
2034_Super_8_01.06.25.800-01.06.33.611 	the filmed scene continues as joe and charles argue.
2034_Super_8_01.09.34.172-01.09.35.803 	orders are being barked -- residents can be heard, complaining and arguing.
2034_Super_8_01.09.37.082-01.09.39.407 	joe passes an arguing man and soldier.
2034_Super_8_01.28.03.157-01.28.05.163 	charles looks at martin -- can't argue.
