0005_Chinatown_00.27.13.380-00.27.22.227 	there's something gleaming in the bottom of it.
0005_Chinatown_00.27.17.183-00.27.22.713 	the gardener nods, and is off, leaving gittes staring at the object in the bottom of the pond that is gleaming.
0005_Chinatown_00.27.54.411-00.28.02.707 	he looks at the tool the gardener was using, hesitates, picks it up and starts to probe into the pond himself, toward the gleaming object.
0005_Chinatown_00.42.36.245-00.42.38.066 	frozen, the knife in his nostril, the street lamp overhead gleaming on the silvery blade.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.52.07.586-00.52.14.680 	sam indicates a brooding stranger who sits alone at a table in the far corner, smoking a curiously carved long stemmed pipe, peering from beneath a travel stained cowl with gleaming eyes.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.01.51.063-01.02.10.059 	one by one, the 5 ringwraiths appear.brandishing gleaming swords, they move slowly towards the hobbits.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.38.45.445-01.38.52.515 	the ring gleaming in the snow!
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.13.36.975-02.13.42.797 	it gleams in the low rays of the late afternoon sun.green, gold, and silver.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.06.52.083-00.06.57.263 	frodo quickly hides the ring as gollum peers at them with gleaming eyes.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.32.12.447-00.32.15.416 	suddenly the sun climbs over the eastern hills, and sends forth a shaft of sunlight that gleams against the face of the city.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.53.25.951-02.53.31.106 	it gleams white in the.
0027_The_Big_Lebowski_00.30.40.529-00.30.41.717 	the gleaming ball shows three dead black holes rolling toward us--finger holes.
1003_How_to_Lose_Friends_and_Alienate_People_00.27.56.078-00.27.59.112 	the glowing peaks of skyscrapers gleam in the night sky.
1010_TITANIC_00.20.53.315-00.21.08.044 	on a video monitor behind rose, the corroded titanic wreck transforms into a gleaming ocean liner moored alongside a dock.
1010_TITANIC_00.21.43.186-00.21.47.215 	sitting in her father's arms, a young brunette girl watches a fleet of gleaming automobiles arrive.
1010_TITANIC_01.33.04.790-01.33.14.396 	leading rose by the hand, jack hurries around a stack of crates, then stops at a gleaming black car.
1014_2012_01.16.38.763-01.16.40.784 	it's full of gleaming sports cars.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_01.37.16.705-01.37.19.770 	a sword lies gleaming under the ice.
1051_Harry_Potter_and_the_goblet_of_fire_01.58.06.753-01.58.10.164 	harry looks at the gleaming trophy and back at cedric.
1053_Harry_Potter_and_the_philosophers_stone_00.23.44.326-00.23.57.345 	harry blinks in amazement, guzzled by the site of vast piles of gleaming golden coins.
1057_Seven_pounds_01.30.58.065-01.30.59.810 	the beast is now gleaming.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.39.57.735-00.39.59.430 	beautiful flowers gleam in the dawn light, then, slowly begin to wither.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.07.32.305-01.07.35.503 	ancient charts drape the walls while gleaming spheres of spun glass orbit one another silently.
