0005_Chinatown_00.05.20.073-00.05.20.719 	duffy stops chewing.
0010_Frau_Ohne_Gewissen_01.18.28.839-01.18.30.227 	keyes, his coat off, is lying on his office couch, chewing on a cigar, as usual.
0014_Ist_das_Leben_nicht_schoen_00.07.15.056-00.07.15.562 	he is bleary-eyed, unshaven, chewing an old unlit cigar.
0016_O_Brother_Where_Art_Thou_00.49.39.114-00.49.44.064 	the big man stops chewing and slowly raises his napkin to his lips to give them a dainty pat.
0017_Pianist_00.48.56.981-00.49.04.963 	they all exchange a look, an acknowledgement of each other, almost like a toast, and then they chew, slowly, deliberately.
0017_Pianist_01.39.30.274-01.39.50.888 	he takes a bite of sausage, chewing deliberately, slowly.
0019_Pulp_Fiction_00.43.25.805-00.43.28.876 	as he chews, his eyes scan the hellsapopinish restaurant.
0020_Raising_Arizona_00.45.40.182-00.45.42.089 	he turns and reaches to pick up the box but - ping-ping - bullets chew up the road near his hand.
0033_Amadeus_01.02.13.086-01.02.15.387 	the court composer, oblivious to constanze, who sits happily chewing chestnuts, her mouth covered in sugar, walks around and around his salon, reading the pages and dropping them on the floor when he is done with them.
0046_Chasing_Amy_00.33.31.720-00.33.37.733 	banky flips through magazines, biting off mini pieces of the gum he's chewing.
0046_Chasing_Amy_00.38.30.350-00.38.32.771 	alyssa swallows what she's chewing and releases her tongue, which is just huge.
1003_How_to_Lose_Friends_and_Alienate_People_00.25.14.934-00.25.16.533 	a glob of chewed burger shoots out of his mouth and lands with a splat on the back of the woman's cream jacket.
1008_Spider-Man2_00.06.09.421-00.06.33.415 	chewing her gum intently she watches as he struggles to push the mops and brushes back inside.
1017_Bad_Santa_00.24.35.642-00.24.37.788 	he chews some gum and looks resentfully around the bar.
1023_Horrible_Bosses_00.44.46.761-00.44.50.525 	chewing on snacks, they all share a look.
1030_Public_Enemies_00.52.17.474-00.52.20.135 	chewing some gum, the criminal gives a cocky smile.
1030_Public_Enemies_00.53.24.584-00.53.26.478 	dillinger chews his gum.
1030_Public_Enemies_01.37.42.895-01.37.43.962 	billie hops in next to dillinger, who chews gum and smiles.
1030_Public_Enemies_01.56.13.495-01.56.17.335 	dillinger steps forward, casually chewing gum as he glances around.
1040_The_Ugly_Truth_00.57.32.956-00.57.37.986 	she chews, winces, spits the caviar out, and grimaces.
1041_This_is_40_00.30.04.874-00.30.08.576 	chewing blissfully, he holds the remainder over the trash.
1047_Defiance_00.30.55.079-00.30.58.638 	aron, chewing on a piece of bread, hands it to rachel, the teenage girl,
1048_Gran_Torino_00.05.51.681-00.05.56.106 	he opens a pouch of chewing tobacco as he goes down the front steps.
1048_Gran_Torino_00.34.19.071-00.34.26.142 	chewing on a plug of tobacco, he squares up to the three black guys.
1048_Gran_Torino_00.58.48.654-00.58.53.349 	walt, chewing tobacco, stands across the street with daisy and watches.
1049_Harry_Potter_and_the_chamber_of_secrets_01.19.23.100-01.19.27.070 	they suddenly stop chewing.
1053_Harry_Potter_and_the_philosophers_stone_02.17.17.545-02.17.24.545 	he chews thoughtfully.
1055_Marley_and_me_00.50.02.553-00.50.06.569 	the grogans are asleep as marley busies himself chewing some of john's socks.
1055_Marley_and_me_00.54.15.569-00.54.19.680 	he wistfully chews a toothpick as marley lies down on the sand.
1055_Marley_and_me_01.09.00.000-01.09.02.685 	marley's chewing a toy on the sofa.
1062_Day_the_Earth_stood_still_01.21.49.308-01.21.54.033 	a road sign disintegrates, chewed to nothing.
2004_Juno_00.09.46.377-00.09.48.464 	she has somehow arranged the living room set on the front lawn, and is seated in the armchair, chewing a pipe officiously.
2005_Signs_00.24.43.116-00.24.46.996 	a gum chewing pharmacist in her early twenties, who looks like she's in her teens, glances through back shelves of medicines as she listens to the radio.
2017_Bad_Santa_00.43.22.812-00.43.32.543 	she glances in as the person passes and, still chewing, gets out her notebook and jots something down.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.24.01.871-01.24.16.335 	the trio makes their way down the slope and past buckbeak, chewing on a ferret with idle satisfaction.
