0004_Charade_00.52.11.453-00.52.12.241 	the receiver hangs by its cord, swinging back and forth.
0011_Gandhi_00.32.53.496-00.33.21.442 	the car rides on past the factory building out of which it turned, and suddenly mounted police come swinging out from the buildings and face the procession.
0013_Halloween_00.03.29.875-00.03.35.258 	the pov swing away from the window and begins to restlessly pace back and forth, agitated, disturbed.
0014_Ist_das_Leben_nicht_schoen_00.15.06.333-00.15.07.170 	the noise is cut off by the swinging door.
0016_O_Brother_Where_Art_Thou_01.04.34.828-01.04.40.688 	its glass doors swing open and everett is hurled out and bellyflops into the dust of the street.
0020_Raising_Arizona_00.57.49.925-00.57.55.329 	swinging as he walks, the biker's hand produces a fresh cheroot from no apparent source-either sleight-of-hand or magic.
0020_Raising_Arizona_01.18.00.563-01.18.02.035 	lenny is sighting down the gun, swinging it around as he approaches the car.
0020_Raising_Arizona_01.19.54.896-01.19.55.247 	matching action as hi finishes swinging the plank into lenny's face.
0020_Raising_Arizona_01.20.06.099-01.20.07.171 	hi backs up, swinging the knife - studded plank to make lenny keep his distance.
0020_Raising_Arizona_01.20.13.558-01.20.16.505 	swinging the chain - whoosh whoosh - at the backpedaling hi.
0021_Rear_Window_00.23.46.833-00.23.48.833 	both of them swing their eyes a little to the left.
0023_THE_BUTTERFLY_EFFECT_01.08.57.352-01.08.59.636 	tommy blindly stumbles around, madly swinging the tire thumper.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.45.30.650-01.45.38.179 	with that, the rock face silently divides in the middle and two great doors swing outwards revealing a blackness deeper than the night.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.27.28.293-00.27.30.082 	arwen watches as the figure holds out its arms -- swinging the laughing child into the air.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.30.51.940-02.30.54.578 	the black gates of mordor swing open!
0027_The_Big_Lebowski_01.22.48.992-01.22.49.581 	but it is no longer a bowling ball rolling between their legs--it is the dude himself, levitating inches off the lane, the tools from his utility belt swinging free.
0029_The_Graduate_01.12.24.779-01.12.25.797 	we see a swinging door pushed open to reveal: mr. braddock, dressed in a bathrobe, standing at the kitchen counter by the window through which we can see an orange tree.
0046_Chasing_Amy_00.09.36.771-00.09.39.539 	a beautiful, blonde, ruffled-haired angel swinging her purse in a circle.
0049_Hannah_and_her_sisters_01.27.13.514-01.27.15.639 	norma's face can be seen in the porthole window on the other side of the pantry's swinging door.
0049_Hannah_and_her_sisters_01.27.30.409-01.27.33.324 	norma steps back out of the kitchen, the door swinging shut behind her.
0050_Indiana_Jones_and_the_last_crusade_00.13.31.621-00.13.35.350 	he grabs a hold of the hook and uses it to swing all the way across the deck, narrowly avoiding a huge wave behind him.
0050_Indiana_Jones_and_the_last_crusade_01.35.44.272-01.35.46.535 	before indy can answer, vogel is up and swinging with the shovel.
0050_Indiana_Jones_and_the_last_crusade_01.49.33.449-01.49.36.327 	he comes at indy, attempting to swing the huge, heavy sword but finding the effort almost too much.
