0002_As_Good_As_It_Gets_00.12.16.020-00.12.17.109 	his discomfort builds in this limbo.
0010_Frau_Ohne_Gewissen_00.25.35.530-00.25.36.085 	a low glass-and- china cabinet is built between the dinette and kitchen, leaving a space like a doorway.
0011_Gandhi_00.32.53.496-00.33.21.442 	the car rides on past the factory building out of which it turned, and suddenly mounted police come swinging out from the buildings and face the procession.
0014_Ist_das_Leben_nicht_schoen_01.04.54.330-01.04.55.343 	it has the promise when built up of being a pleasant little middle class section.
0016_O_Brother_Where_Art_Thou_01.37.16.830-01.37.22.044 	the rumble is building.
0017_Pianist_00.16.49.541-00.16.51.818 	further along, men are building a wall across the street.
0020_Raising_Arizona_01.01.40.308-01.01.41.826 	a whipcrack effect builds to the cut and.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.32.08.012-00.32.11.652 	with seven walls of white stone, so strong and old that it seems to have been not built, minas tirith looks carven by giants out of the bones of the earth.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.32.58.262-00.32.59.558 	minas tirith is built in 7 levels -- each behind a circular defensive wall.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.59.44.392-01.59.59.116 	angle on: the 6000 rohirrim move off, a great wall of horses and spear points, building up to a gallop like a rising tide, as they charge towards the 50,000 orcs!
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.22.39.983-02.22.43.058 	tension instantly builds between them.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.22.46.602-02.22.54.891 	on the soundtrack to hum of the ring builds.
0026_The_Big_Fish_00.36.47.028-00.37.02.759 	lanterns and streamers hang on cables across the street, and a small stage has been built at one end to hold fiddlers.
0026_The_Big_Fish_01.21.04.928-01.21.09.421 	the storeroom is a museum of hasty decisions and half-finished projects: partially built outboard motors, dead bonsai trees, frankensteinian lawnmowers.
0050_Indiana_Jones_and_the_last_crusade_01.02.38.249-01.02.41.678 	the stairway deposits indy and henry into an enormous watery cavern beneath the mountain on which the castle was built.
0050_Indiana_Jones_and_the_last_crusade_01.02.41.678-01.02.44.812 	a full-scale nazi boat dock has been built inside the cavern.
1004_Juno_00.22.38.950-00.22.41.560 	bleeker's solidly built double-chinned mother closes the door of his bedroom.
1004_Juno_00.38.26.330-00.38.32.830 	at school, a grey head starkly built woman in a mauve cardigan sits behind the desk looking disapprovingly at juno bulging.
1007_Spider-Man1_00.45.10.162-00.45.17.443 	he spots a flag pole on a building opposite and jumps sailing through the air, grabbing the pole with both hands, then like a gymnast swings round and round until he builds the momentum to catapult him through the air on to the adjoining rooftop.
1007_Spider-Man1_00.47.10.048-00.47.14.232 	a posse of police cars builds up behind a smashed vehicle.
1007_Spider-Man1_01.05.57.275-01.06.04.951 	beyond the times square building with a singular wireless cubed top, another advertising hoardings, an object is moving towards the crowd.
1007_Spider-Man1_01.46.11.278-01.46.16.375 	he builds a large web, which slows down the green goblin, but can't hold him.
1009_Spider-Man3_02.04.47.691-02.04.50.141 	peter spears the two pipes into the floor, grabs two more, and does the same, building a circular fence around venom.
1012_Unbreakable_00.24.16.452-00.24.27.119 	the cover features a heroic figure in a yellow cape fighting a powerfully built creature, half-man, half-beast, against a backdrop of new york skyscrapers.
1012_Unbreakable_00.41.44.706-00.41.51.373 	staring around anxiously, elijah spots the man on the other side of the road from the dark brick built stadium.
1012_Unbreakable_01.07.29.689-01.07.30.584 	the cover shows a powerfully built hero in blue, racing towards a gaggle of shadowy demonic figures.
1014_2012_01.48.04.579-01.48.08.508 	the helicopters make their way to the complex built deep into the mountains.
1027_Les_Miserables_01.38.23.385-01.38.25.721 	a cart is overturned and furniture is thrown from windows to build the barricade.
1031_Quantum_of_Solace_00.39.44.518-00.39.48.817 	guests gather in a reception area in the form of a cube built over the theater entrance.
1031_Quantum_of_Solace_01.23.40.869-01.23.44.248 	another opens up, sprints off and jumps from one building to another.
1034_Super_8_01.30.24.772-01.30.28.765 	at the cemetery, joe and cary climb down a rope into the tunnel that the alien has built.
1034_Super_8_01.45.38.201-01.45.40.435 	martin goes on into building 47.
1047_Defiance_00.51.48.109-00.51.50.463 	and with quiet pride, watches his flock, young and old, busily building a new camp.
1047_Defiance_01.21.35.528-01.21.46.565 	keeping their heads low, the three of them scurry across to one building, and then sneak towards the police station building flying the nazi flag.
1056_Rambo_00.25.27.000-00.25.30.586 	the village huts are built in the local style in wood with high foundations.
2026_Legion_00.06.04.743-00.06.15.823 	burton squeezes his eyes shut in pain, his whole body quaking, heels clicking the pavement, as if some massive pressure were building inside him.
2034_Super_8_00.09.26.675-00.09.27.875 	comic books and other plastic models, all built and painted by joe.
2041_This_is_40_01.06.08.424-01.06.10.314 	sadie and a bunch of other kids are building sets for a school play.
