0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.36.20.833-01.36.23.353 	gandalf intercepts the beast, striking him with his staff.
0026_The_Big_Fish_00.03.35.198-00.03.38.229 	will reaches the door, where his mother intercepts him.
0053_Rendezvous_mit_Joe_Black_00.03.53.906-00.03.59.509 	parrish grins, continues on, is intercepted by allison who, on catching sight of him, bounces in from the terrace.
1030_Public_Enemies_01.28.14.679-01.28.19.346 	now, baum dashes past agents clegg and madala on his way to intercept the fugitive.
1030_Public_Enemies_01.47.25.376-01.47.28.043 	winstead intercepts his arm and slams him against the wall.
1031_Quantum_of_Solace_00.43.50.949-00.43.54.883 	bond intercepts the intruder and takes him out with a fist and a knee.
1031_Quantum_of_Solace_01.19.57.417-01.20.12.101 	he flips a dangling leg back into the lift as the doors close and intercepts m.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.12.04.152-01.12.13.701 	nearly colliding with another waiter, he dons a bellhop's uniform and removes his mustache just in time to intercept moriarty and moran in the lobby.
1048_Gran_Torino_00.27.33.815-00.27.35.897 	he intercepts sue and thao.
2004_Juno_01.10.34.940-01.10.40.568 	juno reaches the top of the stairs and scrambles toward the front door, only to be intercepted by vanessa, who's returning home from work, carrying her briefcase and a freshly purchased nursing pillow.
2026_Legion_00.42.01.020-00.42.07.978 	he intercepts her before she can make it out.
