0003_CASABLANCA_00.14.41.550-00.14.43.900 	apparently satisfied, ferrari walks away.
0004_Charade_00.09.49.010-00.09.51.806 	satisfied, he recovers the foot, then moves to the other end to uncover the head.
0011_Gandhi_02.40.08.925-02.40.12.351 	he measures gandhi for a moment to see that he is sincere, and when he is satisfied with that, he turns slowly to nehru, patel and azad.
0017_Pianist_00.23.28.872-00.23.34.843 	satisfied, the customer beams, nods his thanks to szpilman, who resumes his piano playing.
0017_Pianist_01.01.25.113-01.01.27.772 	zick-zack nods, satisfied.
0021_Rear_Window_00.07.27.200-00.07.31.166 	satisfied, he takes the scratcher out.
0021_Rear_Window_00.08.47.658-00.08.49.835 	satisfied, she walks to jeff.
0021_Rear_Window_01.01.33.466-01.01.34.709 	satisfied, she takes off the glasses, and examines her face as a whole, through squinting eyes.
0032_The_Princess_Bride_00.25.51.216-00.25.55.861 	satisfied by the silence, he starts forward again and as he rounds the bend--a rock flies into frame, shattering on a boulder inches in front of him.
0038_Psycho_00.18.44.843-00.18.49.268 	she stares at the papers, turns away, as if what she is fearing would have to be impossible, then, having to satisfy herself, goes to the stand, drops a dime in the iron slot, picks up a los angeles newspaper, starts back into the car lot as she glances worried at the front page.
1048_Gran_Torino_00.50.32.171-00.50.35.803 	satisfied it's ok, he begins to wander across the basement.
2017_Bad_Santa_01.22.46.468-01.22.49.003 	satisfied with her placement of the table, lois heads out the door.
2027_Les_Miserables_02.18.57.198-02.18.58.208 	they look round as the dance continues, highly satisfied with themselves and see marius.
