0002_As_Good_As_It_Gets_01.04.22.753-01.04.23.469 	she grasps the fabric and holds it straight out just as melvin opens the door.
0020_Raising_Arizona_00.29.00.721-00.29.00.889 	we hurtle toward and then straight up the ladder with no abatement of speed, sucked forward by the deafening scream.
0020_Raising_Arizona_01.19.03.757-01.19.07.925 	boom up lenny's back to reveal ed stomping straight up the street toward him - unarmed, unafraid.
0023_THE_BUTTERFLY_EFFECT_00.06.55.416-00.06.57.703 	evan nods and sticks his arms straight up in the air.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.11.14.408-02.11.28.946 	the army of the dead suddenly leap straight out of the sides of the ships!
0043_Thelma_and_Luise_00.08.43.013-00.08.44.966 	she is laughing and she sticks her arms straight up in the air.
0046_Chasing_Amy_00.57.44.209-00.57.46.175 	holden and alyssa shoot straight up, eyes struggling to focus.
1007_Spider-Man1_01.15.32.733-01.15.37.770 	vapor seeps out from the back of the green goblin's gloves straight into the face of spider-man who's hanging upside down.
1014_2012_00.50.40.033-00.50.48.128 	gordon pilots the plane straight through the gap as the building shattering all around them.
1035_The_Adjustment_Bureau_01.09.47.248-01.09.54.447 	elise bends forward, sweeping her legs straight up into the air behind her.
2034_Super_8_01.28.51.402-01.29.10.571 	again and again, until finally the door kicks open -- and they almost fall inside -- and thank goodness they didn't -- because -- and now we're looking straight down from inside the shed -- the entire floor of the shed has been dug out -- dropping forty feet straight down, dirt piled, caked along the sides of the structure.
2034_Super_8_01.31.14.225-01.31.17.819 	they look up: another hole leading down, dug straight through a house.
