21_JUMP_STREET.srt 	21_JUMP_STREET_DVS46 	00:04:50,00 --> 00:04:55,50 	he proudly shows his score, a c-.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS102 	00:14:25,00 --> 00:14:29,50 	he shows drugs.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS246 	00:39:38,00 --> 00:39:43,50 	now at headquarters, they show a perp chart.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS396 	01:07:09,00 --> 01:07:16,50 	the window behind her shows someone and his black gay friend furtively carrying a piata.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS595 	01:32:34,00 --> 01:32:44,50 	his shot shatters a flat screen showing someone wen as someone on the tv show.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS95 	00:22:38,00 --> 00:22:43,50 	a blurry view shows the masked kidnapper.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS167 	00:43:55,00 --> 00:43:58,50 	it shows vito's pizza place.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS91 	00:47:29,00 --> 00:47:36,50 	someone shows a customer a tv displaying close-ups of butterflies.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS312 	00:56:11,00 --> 00:56:16,50 	vance shows someone a selection of greetings cards.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS392 	01:09:50,00 --> 01:09:56,50 	someone stares as someone shows a girlfriend a ring on her left hand.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS390 	00:35:38,00 --> 00:35:45,50 	now a bird's eye view shows tightly packed buildings in a city neighborhood.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS432 	00:41:58,00 --> 00:42:03,50 	a threshold shows the three men venturing through a pair of tall glass doors.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS438 	00:42:15,00 --> 00:42:21,50 	the tall windows show a fog-enshrouded city outside,as they cross the room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS585 	00:59:47,00 --> 00:59:51,50 	he shows someone a set of keys.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS57 	00:05:39,00 --> 00:05:45,50 	someone shows her one of the pages.
