21_JUMP_STREET.srt 	21_JUMP_STREET_DVS490 	01:18:39,00 --> 01:18:43,50 	each carrying a cardboard box.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS497 	01:18:56,00 --> 01:19:04,50 	someone carries a box to his cars open hatchback.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS41 	00:08:11,00 --> 00:08:19,50 	inside the uniformed delivery guys carries a pizza through an aisle of colorful vases and decorations.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS289 	00:53:32,00 --> 00:53:36,50 	the someone character's carrying a balloon.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS479 	01:19:49,00 --> 01:19:53,50 	and carrying a portfolio.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS327 	00:28:58,00 --> 00:29:08,50 	the truck flies through an enormous concrete drainpipe, toppling the tractor-trailer carrying it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS723 	01:13:05,00 --> 01:13:14,50 	on the ground, two men carry a case of uranium, as a masked man barks orders.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS427 	01:13:48,00 --> 01:13:55,50 	carrying a cup of coffee, someone smiles to himself as he exits the shop.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS163 	00:27:18,00 --> 00:27:25,50 	now, in a busy cafeteria, someone and someone carry their meal trays.
BLINDDATING.srt 	BLINDDATING_DVS149 	00:40:12,00 --> 00:40:21,50 	now, someone walks through the park carrying a brown paper lunch bag.
BRUNO.srt 	BRUNO_DVS158 	00:43:46,00 --> 00:43:59,50 	the security team carries him away.
BRUNO.srt 	BRUNO_DVS163 	00:45:08,00 --> 00:45:12,50 	someone carries him piggyback out of the restaurant.
BURLESQUE.srt 	BURLESQUE_DVS313 	00:43:33,00 --> 00:43:41,50 	at the lounge, a bartender carries crates of glasses and the band rehearses.
BURLESQUE.srt 	BURLESQUE_DVS401 	00:55:44,00 --> 00:55:51,50 	two bartenders catch her and carry her to the chaise lounge.
BURLESQUE.srt 	BURLESQUE_DVS450 	01:01:32,00 --> 01:01:37,50 	someone carries a crate of glasses away.
BURLESQUE.srt 	BURLESQUE_DVS743 	01:52:45,00 --> 01:52:52,50 	the dancers on the bar fall back into the arms of the bartenders, who carry them to the stage.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS143 	00:24:26,00 --> 00:24:31,50 	someone walks in carrying a liquor bottle.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS198 	00:15:47,00 --> 00:15:53,50 	someone and blond carry their surfboards down the street.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS326 	00:28:19,00 --> 00:28:24,50 	someone jogs into view, carrying a surfboard.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS328 	00:28:32,00 --> 00:28:37,50 	now in wetsuits, they each carry a board.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS330 	00:29:03,00 --> 00:29:08,50 	now, they carry the boards into the surf.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS819 	01:20:52,00 --> 01:20:58,50 	as the current carries the plastic cap away, someone's eyes widen.
CHRONICLE.srt 	CHRONICLE_DVS262 	00:40:28,00 --> 00:40:34,50 	later, we share the camera's perspective as someone carries it downstairs.
CHRONICLE.srt 	CHRONICLE_DVS461 	01:07:25,00 --> 01:07:30,50 	someone carries his limp, soot-covered uncle to the ground.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS89 	00:16:16,00 --> 00:16:23,50 	someone clings to his father who carries him down the sidewalk patting his back.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS350 	01:26:45,00 --> 01:26:51,50 	someone watches medics carry a body away on a stretcher.
CINDERELLA_MAN.srt 	CINDERELLA_MAN_DVS396 	01:36:19,00 --> 01:36:25,50 	now, a waiter carries a covered silver tray into an elegant club.
COLOMBIANA.srt 	COLOMBIANA_DVS562 	00:51:29,00 --> 00:51:35,50 	someone's legs grip his waist as he carries her to the sofa.
COLOMBIANA.srt 	COLOMBIANA_DVS636 	00:59:55,00 --> 01:00:01,50 	she carries the gun at her side, her finger crooked around the trigger.
DEAR_JOHN.srt 	DEAR_JOHN_DVS73 	00:10:17,00 --> 00:10:25,50 	later, someone hobbles down a deserted road in his flip-flops, carrying his surfboard under one arm.
DEAR_JOHN.srt 	DEAR_JOHN_DVS80 	00:12:26,00 --> 00:12:30,50 	he carries his board toward the house.
DEAR_JOHN.srt 	DEAR_JOHN_DVS149 	00:24:06,00 --> 00:24:14,50 	as his father paces in the living room, someone carries his girlfriend upstairs.
DEAR_JOHN.srt 	DEAR_JOHN_DVS228 	00:35:30,00 --> 00:35:37,50 	each carrying a duffel.
DEAR_JOHN.srt 	DEAR_JOHN_DVS464 	01:08:00,00 --> 01:08:09,50 	he extracts the metal box and carries it outside.
DISTRICT_9.srt 	DISTRICT_9_DVS847 	01:40:15,00 --> 01:40:28,50 	it carries him to the holographic navigation frame.
