0003_CASABLANCA_00.16.08.988-00.16.10.141 	it intermittently sheds its light on rick's face.
0007_DIE_NACHT_DES_JAEGERS_00.53.07.664-00.53.09.885 	jars shower over him; one crowns him and breaks, shedding guck, which he wipes from his eyes.
0026_The_Big_Fish_00.57.55.728-00.57.58.140 	mr. soggybottom sheds a clown tear, aiming the revolver at the dog.
1001_Flight_00.46.38.795-00.46.45.593 	the car passes a dilapidated shed on the right and pulls up to large older farmhouse.
1001_Flight_00.49.48.268-00.49.52.750 	he slides the doors of the shed open, revealing a two-seat cessna plane in the small hangar.
1009_Spider-Man3_01.55.13.656-01.55.21.403 	peter's eyes widen as a truck suspended above the yellow cab starts shedding its load of breeze blocks which rain down like giant hailstones, ripping a door off the cab.
1043_Vantage_Point_01.04.25.517-01.04.38.067 	taylor guns down both agents, then sheds his jacket and dismantles the remote-controlled rifle.
1046_Australia_00.32.19.935-00.32.32.965 	she looks at her little entourage, and turns and sheds her eyes from the sun.
1048_Gran_Torino_01.30.08.632-01.30.12.528 	he sheds a tear.
2005_Signs_00.11.17.533-00.11.31.073 	the children watch over their father's shoulder as merrill runs to their other german shepherd sitting quietly near the house and leads her by her collar across the yard to the shed.
2034_Super_8_00.54.24.368-00.54.37.622 	he stands, pulls out his flashlight -- aims the beam down rows of graves, toward the big caretaker's shed in the distance.
2034_Super_8_01.28.51.402-01.29.10.571 	again and again, until finally the door kicks open -- and they almost fall inside -- and thank goodness they didn't -- because -- and now we're looking straight down from inside the shed -- the entire floor of the shed has been dug out -- dropping forty feet straight down, dirt piled, caked along the sides of the structure.
