0006_Clerks_00.04.12.386-00.04.14.229 	dante tries to jam the key into the window shutter lock.
0014_Ist_das_Leben_nicht_schoen_02.06.12.010-02.06.14.117 	mr. gower enters with a large glass jar jammed full of notes.
0017_Pianist_00.26.09.901-00.26.13.115 	szpilman goes to him, pulls him with all his might but the boy is jammed in the hole.
0023_THE_BUTTERFLY_EFFECT_00.12.32.163-00.12.38.281 	all eyes turn to evan as he takes his lit cigarette, breaks off the filter and jams the fuse into the unlit end.
0023_THE_BUTTERFLY_EFFECT_01.19.56.882-01.20.06.498 	evan looks miserable, about to do the deed when -- carlos bulldozes past the aryans into the room, slamming karl into the wall and jamming a shank into karl's crotch!
0023_THE_BUTTERFLY_EFFECT_01.21.45.414-01.21.50.428 	with all of the force he can muster, he jams the metal shard all the way through tommy's throat!
0029_The_Graduate_00.58.35.540-00.58.37.181 	ben jerks his car over to the right, swerves around the car ahead, jamming his horn down, and swerves back into the outside lane, giving the driver of the other car an angry look as he passes him.
0029_The_Graduate_01.37.24.993-01.37.27.399 	he jams on the brakes and stops the car in the middle of the street.
0046_Chasing_Amy_00.57.18.191-00.57.26.332 	he jams them into the lock, opening the door.
0050_Indiana_Jones_and_the_last_crusade_01.01.54.974-01.01.58.744 	indy picks up a bust of hitler and uses it to jam the rotating wall in place, sealing the nazis inside the burning room.
0050_Indiana_Jones_and_the_last_crusade_01.45.22.392-01.45.28.818 	indy loops a rope around the wheels, jamming the mechanism and stopping the blades in mid-swipe.
0051_Men_in_black_00.38.32.440-00.38.33.007 	looking slick and handsome in his extremely sharp suit, james d edwards iii -- or, rather, jay -- steps into the doorway from the locker room.
0051_Men_in_black_01.17.16.272-01.17.17.232 	jay flips back the plastic cover and jams his finger down on the red flashing button.
1023_Horrible_Bosses_00.39.12.483-00.39.21.358 	at the dentist, julia licks the back of dale's neck, then sucks his left earlobe and jams her tongue in his ear.
1030_Public_Enemies_01.03.12.248-01.03.18.848 	as dillinger jams the barrel of his gun into the warden's neck, the warden spins the dial on a safe door.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.47.40.955-00.47.44.825 	the lipstick he put in the machine gun belt is fed into the breech, jamming the gun.
2012_Unbreakable_00.33.25.600-00.33.31.230 	he pulls down a folder jammed with clippings.
2034_Super_8_01.04.22.719-01.04.29.045 	louis tries to get out of the car -- but it's painful -- and his door is jammed shut -- he goes for the passenger door.
