0003_CASABLANCA_01.02.33.941-01.02.34.989 	renault gets up and strolls away.
0005_Chinatown_00.52.07.334-00.52.27.929 	he lights up and begins to hum 'the way you look tonight,' strolling along the wall looking at more photographs.
0007_DIE_NACHT_DES_JAEGERS_00.12.19.244-00.12.20.561 	they stroll barefoot down the empty dirt sidewalk.
0007_DIE_NACHT_DES_JAEGERS_01.09.03.842-01.09.04.796 	a cattle dealer strolls the other way.
0013_Halloween_00.13.51.079-00.13.54.397 	laurie strolls up to the front porch.
0013_Halloween_00.23.42.806-00.23.45.455 	lynda strolls up to her house.
0013_Halloween_00.32.27.986-00.32.30.254 	lee brackett strolls out to the car and leans down to the window.
0020_Raising_Arizona_00.57.45.852-00.57.49.925 	behind the jackboots as they stroll through a showroom of unpainted furniture and bathroom fixtures.
0021_Rear_Window_01.14.53.377-01.15.03.877 	doyle smiles at jeff, and then strolls over to the table where he puts out his cigarette and puts down the brandy snifter.
0029_The_Graduate_01.15.29.831-01.15.39.110 	during which ben remains static while the quadrangle and the area around him fill up with students; walking, talking, hurrying to class, strolling, sitting, reading, handing out petitions, etc.
0030_The_Hustler_00.13.45.510-00.13.58.215 	fats withdraws a cigarette from his gold case, then casually strolls toward eddie's table standing apart and quietly observing the sharp, precise movements of his prospective opponent.
0049_Hannah_and_her_sisters_01.39.37.235-01.39.42.649 	they stroll offscreen.
1003_How_to_Lose_Friends_and_Alienate_People_00.49.22.143-00.49.23.877 	smiling, clayton strolls up to him.
1004_Juno_00.27.45.780-00.27.54.319 	as the woman carefully adjust the buttons on her pristine white cuffs, mac and juno wearing everyday casual clothes stroll up to the double-fronted door flanked by two slim furs.
1005_Signs_00.21.52.750-00.21.56.270 	she shakes her head as they stroll away from the farmhouse.
1005_Signs_00.23.59.622-00.24.03.276 	graham turns and calls to merrill, who strolls off in the other direction.
1005_Signs_00.29.30.575-00.29.39.003 	his expression hardens when he sees a young dark-haired man of asian descent strolling down the sidewalk, and opening the back door of a brown chevrolet four by four.
1008_Spider-Man2_00.09.35.458-00.09.40.623 	miss brant chucks peter's chin and strolls away.
1008_Spider-Man2_01.11.43.493-01.11.51.615 	he strolls away from a hot dog man and stands at the curve.
1009_Spider-Man3_01.22.17.430-01.22.20.495 	a couple strolled by the boating lake in central park.
1010_TITANIC_00.54.59.273-00.55.08.002 	rose's mother and her friends stroll nearby.
1010_TITANIC_00.58.54.361-00.58.58.583 	arm-in-arm, they stroll up to cal.
