0019_Pulp_Fiction_01.36.13.288-01.36.15.698 	The gangster's feet go out from under him and the big man FALLS FLAT on his back.
0022_Reservoir_Dogs_01.25.31.379-01.25.33.323 	A bloody Mr. Brown FALLS out.
0022_Reservoir_Dogs_01.32.57.740-01.33.09.093 	Mr. White tries to stand but FALLS DOWN.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.21.14.453-00.21.23.390 	He FALLS BACKWARDS, powerless to release the FIERY.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.44.56.194-01.45.00.997 	in a FURY he LUNGES at FRODO who falls backwards, dangerously close to the edge of the PRECIPICE -- GOLLUM tumbles over FRODO's BODY and FALLS to the bottom of the RAVINE.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.19.08.132-02.19.20.572 	GORBAG FALLS THROUGH a TRAP DOOR leading to the floor below.
0041_The_Sixth_Sense_01.37.37.116-01.37.45.931 	SOMETHING SHINY FALLS OUT AND ROLLS ON.
0050_Indiana_Jones_and_the_last_crusade_01.19.56.095-01.19.58.079 	FALLS INTO THE HOLE made by the bomb.
2034_Super_8_00.31.20.777-00.31.25.163 	martin -- as detective hathaway -- fires a gun -- shooting cary, dressed in a dirty suit, as a man turning into a zombie -- his eyes wide and glossy white -- and as he is hit by the bullets, he slams his hand onto his chest -- blood bursts all over him and he falls painfully to the ground.
2034_Super_8_01.20.02.411-01.20.03.638 	the entire bus is rocked, charles screams, hurt -- at the front of the bus, nelec falls -- hits a bench, then.
2054_Harry_Potter_and_the_prisoner_of_azkaban_01.27.28.378-01.27.33.554 	slowly, hermione's hand falls onto ron's shoulder and camera falls with her, continuing down the length of ron's arm to his hand, where a drop of blood hangs from his finger, drops like a tear.
