0017_Pianist_01.16.52.074-01.16.54.915 	the tram rumbles on its way.
0017_Pianist_01.44.07.733-01.44.11.370 	at the far end, at the t-junction with a main road, a tram rumbles down the street and comes to a halt, disgorging passengers on the far side and so out of sight.
0020_Raising_Arizona_00.57.19.640-00.57.21.845 	the engine rumbles.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.07.31.543-00.07.34.073 	the ground suddenly quivers, as a rolling, rumbling noise echoes down the valley.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.41.22.016-00.41.26.441 	at that moment: the ground quivers, and a great rumbling noise rolls across the ground and echoes in the mountains.
0027_The_Big_Lebowski_00.29.35.633-00.29.38.725 	the dude absently licks his lips as we faintly hear a hall rumbling down the lane.
0027_The_Big_Lebowski_00.43.25.137-00.43.26.052 	we see the backside of a naked woman in a sling suspended from a ceiling track rumbling over a canvas that lies on the floor.
0050_Indiana_Jones_and_the_last_crusade_01.56.29.271-01.56.38.748 	a rumbling sound is heard and the ground roars and shifts.
1009_Spider-Man3_00.10.31.007-00.10.34.331 	at night, a train rumbles across a bridge in the heart of brooklyn.
1014_2012_00.35.05.984-00.35.07.685 	it rumbles beneath a car.
1046_Australia_01.21.47.518-01.21.55.637 	sarah's herd rumbles on as the laughing carney men urge their charges into the loading tunnel which runs down the wharf.
1062_Day_the_Earth_stood_still_01.21.09.000-01.21.15.000 	a truck rumbles down a desert highway towards the smoking chimneys of an industrial complex.
2034_Super_8_01.13.56.119-01.14.01.178 	donny yanks the steering wheel -- he turns onto a dirt road -- the car rumbles away from camera.
2034_Super_8_01.32.50.060-01.32.56.259 	move fast with joe as he races, a lit sparkler giving him his light -- the mechanical rumbling all but gone now.
