0001_American_Beauty_01.52.12.796-01.52.15.696 	A pool of blood is forming on the kitchen table.
0004_Charade_01.38.18.251-01.38.18.401 	The jumble of advertising posters as it passes rapidly, forming a moving band of letters, women, cartoons and colors.
0013_Halloween_00.17.02.439-00.17.07.305 	The other boys form a circle around Tommy and taunt him.
0014_Ist_das_Leben_nicht_schoen_00.04.58.195-00.05.00.030 	The other boys lie flat on the ice, forming a human chain.
0014_Ist_das_Leben_nicht_schoen_00.13.50.437-00.13.51.725 	Ernie sticks his head out form the driver's seat.
0014_Ist_das_Leben_nicht_schoen_00.35.02.548-00.35.15.400 	The same stars we saw in the opening sequence are once more twinkling as we hear the voices form Heaven.
0016_O_Brother_Where_Art_Thou_00.25.23.433-00.25.27.192 	The three singing convicts form a semi-circle behind Tommy, who plays his guitar into a can microphone.
0016_O_Brother_Where_Art_Thou_01.08.09.916-01.08.13.987 	With his mouth forming an O around his dropping cigar, Pappy looks sadly from one to the other, like a spectator at a particularly boring tennis match.
0016_O_Brother_Where_Art_Thou_01.39.29.757-01.39.32.772 	The inundated valley shows only the occasional roof- or treetop poking out of the newly formed river.
0019_Pulp_Fiction_00.34.28.660-00.34.30.646 	Dotted lines appear on the screen, forming a sqaure.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.43.39.213-01.43.45.544 	The lines grow Broader and Clearer, forming a glowing arch of interlacing ancient letters and symbols.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.08.16.895-01.08.21.543 	FARAMIR'S KNIGHTS FAN OUT to form one straight line of 200 HORSEMEN.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.27.54.490-01.27.58.449 	The FOG suddenly ROLLS BACK, forming a retreating wall of GREY VAPOUR.
0026_The_Big_Fish_01.14.04.766-01.14.06.000 	Sandra hangs sheets to dry on the clotheslines, forming a tunnel of fabric.
0041_The_Sixth_Sense_00.19.14.820-00.19.22.134 	Her gaze stops on the TWO TINY HAND PRINTS OF SWEAT formed on the table's surface.
0050_Indiana_Jones_and_the_last_crusade_01.02.24.059-01.02.31.535 	Indy grabs a railing to keep from falling, but loses his grip and plunges through the opening which has formed a SPIRAL STAIRCASE.
0053_Rendezvous_mit_Joe_Black_00.53.51.831-00.53.57.635 	They stride on, cutting through the crowd, Joe all at home in his new surrounding, but Parrish just the opposite, un- characteristically uncomfortable, phrases forming on his lips but unspoken, then suddenly he blurts out.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.20.22.310-01.20.25.092 	They form a circle, back-to-back, wands poised.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.02.26.232-02.02.33.520 	A dip in a rock pedestal forms a crystal basin filled with liquid.
1002_Harry_Potter_and_the_Half-Blood_Prince_02.16.35.090-02.16.41.538 	Harry looks up at the glowering clouds forming the shape of a skull.
1052_Harry_Potter_and_the_order_of_phoenix_01.59.43.606-01.59.47.963 	the water forms a huge rolling ball with voldemort trapped inside.
1053_Harry_Potter_and_the_philosophers_stone_00.20.30.000-00.20.42.078 	he stares in amazement as the bricks rearrange themselves to form a doorway.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.55.00.000-00.55.07.513 	looming above him, they form the menacing shape of a huge, black dog.
1054_Harry_Potter_and_the_prisoner_of_azkaban_00.55.16.743-00.55.24.612 	as he reaches out, thick ice begins to form on the handle of his broomstick.
1054_Harry_Potter_and_the_prisoner_of_azkaban_01.43.31.582-01.43.42.227 	a silver mist forms a protective shield and the dementors are held back.
1054_Harry_Potter_and_the_prisoner_of_azkaban_02.01.35.980-02.01.47.281 	the light from the wand glows even more strongly, forming a bright protective shield which spreads to the other side of the lake.
1057_Seven_pounds_00.00.36.000-00.00.39.000 	shafts of light gradually form the shape of a running man.
1058_The_Damned_united_00.28.58.000-00.29.11.000 	the leeds players, in purple team track suits with their surnames on their backs form a semicircle facing brian with stout redhead bremner who dived for the penalty in the derby cup clash beside lanky giles.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_00.43.06.912-00.43.22.444 	a demetor flies past and is repelled by the ever-increasing mass as it extends to cover the school and the grounds, forming a protective shield
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.22.16.000-01.22.21.236 	they gather to form a patronus in the shape of a beautiful silver doe.
1062_Day_the_Earth_stood_still_00.01.00.000-00.01.01.000 	letters form around the moon.
1062_Day_the_Earth_stood_still_00.54.21.023-00.54.27.804 	high metal panels are pushed into place forming a triangular wall around the robot.
2026_Legion_00.31.47.420-00.31.52.928 	in moments bob, kyle and jeep form a protective shield in front of charlie.
2027_Les_Miserables_00.03.01.941-00.03.03.617 	javert nods to the guards, and they begin to form the chained men into lines to return to their prison.
2027_Les_Miserables_02.07.57.749-02.08.00.595 	the seine forms a whirlpool here, where violent currents swirl round the piles of the bridge.
2051_Harry_Potter_and_the_goblet_of_fire_02.09.06.183-02.09.49.103 	shapes form in the surrounding magical energy.
