0012_Get_Shorty_00.13.19.154-00.13.23.498 	all the lights are out, save the blue glow of a television coming from one of the downstairs rooms.
0014_Ist_das_Leben_nicht_schoen_01.16.59.637-01.17.00.051 	there's a large picture of president truman pinning the coveted medal on harry's bosom, in the midst of dignitaries; a picture of the transport which harry saved.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.40.19.643-01.40.23.522 	sam thudding into a large rock, which saves him from tumbling headlong over the precipice.
0031_The_Lost_Weekend_00.42.41.620-00.42.44.715 	from now on the scene plays in dimness, save for the shaft of light from the entrance hall.
0033_Amadeus_01.35.40.257-01.35.41.187 	they all sit, save mozart.
0033_Amadeus_02.45.31.557-02.45.32.580 	it is as disordered as before, save that the table, previously littered with pages, is now completely bare.
0050_Indiana_Jones_and_the_last_crusade_01.57.06.039-01.57.18.181 	indy can't save her unless she gives him her free hand.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.02.10.499-01.02.11.652 	ron swoops to save the shot.
1002_Harry_Potter_and_the_Half-Blood_Prince_01.02.49.351-01.02.50.793 	ron saves it.
1009_Spider-Man3_00.35.01.155-00.35.17.794 	dodging the debris, spider-man just manages to catch gwen, saving her from being crushed by two clashing slabs of concrete.
1055_Marley_and_me_00.53.42.916-00.53.52.411 	she jumps to save marley from the attentions of toddler patrick.
1056_Rambo_00.10.50.254-00.11.01.584 	in darkness, save for the glow of headlights on jeeps and beams from hand torches, the army drag people from their homes and march them away at gunpoint, under the supervision of the cigarette -smoking commander.
2027_Les_Miserables_02.09.49.634-02.09.55.266 	he reaches higher, turning his body, twisting, as if he wants some angel from on high to save him - and so, turning, he falls into the river.
