0002_As_Good_As_It_Gets_00.00.43.636-00.00.43.769 	her sweetness dissolves in a flash.
0011_Gandhi_00.03.56.859-00.03.59.086 	amid the screams and sounds of chaos we dissolve through to.
0014_Ist_das_Leben_nicht_schoen_00.34.05.228-00.34.06.679 	dissolving the building and loan will alter his plans.
0016_O_Brother_Where_Art_Thou_00.57.21.568-00.57.26.921 	lone and lorn, he returns everett's slack-jawed stare until heat ripples and the truck's dusty wake dissolve him away.
0020_Raising_Arizona_00.28.45.063-00.28.46.371 	the roar of his engine and clank of his chains recede as the biker gradually dissolves into thin air.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.17.16.435-02.17.21.690 	the army of the dead slowly dissolve into dust, and are immediately swept away by the four winds.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.18.20.893-02.18.28.902 	camera reaches the tower, dissolving through the wall into.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.58.14.070-02.58.14.221 	dissolving into the parchment map of middle-earth.
0031_The_Lost_Weekend_00.32.40.088-00.32.42.834 	the swaying echelon of choristers slowly dissolves to a row of raincoats, exactly like the one don wore.
0033_Amadeus_00.40.07.443-00.40.09.703 	we dissolve on the singer's face, and she is suddenly not merely turbaned, but painted and dressed totally in a turkish manner, and we are on.
1009_Spider-Man3_01.10.32.471-01.10.36.091 	the water rushes past him, dissolving his sandy body.
1011_The_Help_01.38.51.265-01.38.52.674 	mrs. walters dissolves into giggles.
1031_Quantum_of_Solace_00.06.24.632-00.06.33.044 	they dissolve away, hence floating through space.
1052_Harry_Potter_and_the_order_of_phoenix_00.59.35.348-00.59.39.821 	he reaches the door as it dissolves back into the stone wall.
1053_Harry_Potter_and_the_philosophers_stone_01.57.43.545-01.57.48.478 	a flash of light dissolves the plant.
