0005_Chinatown_02.07.24.141-02.07.29.737 	cross himself elbows through.
0014_Ist_das_Leben_nicht_schoen_02.00.00.209-02.00.00.478 	glasses, no make-up, lips compressed, elbows close to body.
0016_O_Brother_Where_Art_Thou_01.21.21.550-01.21.25.527 	they elbow past the bustling kitchen help.
0053_Rendezvous_mit_Joe_Black_01.14.27.042-01.14.31.190 	allison elbows him.
1024_Identity_Thief_00.58.45.936-00.58.50.353 	the skiptracer elbows her stomach and holds her back.
1026_Legion_00.57.31.328-00.57.32.521 	sandra elbows kyle aside.
1030_Public_Enemies_00.13.44.813-00.13.45.534 	a robber elbows open a teller cage.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.55.42.605-01.55.47.744 	moriarty punches then elbows holmes in the chest.
1043_Vantage_Point_00.27.30.912-00.27.36.056 	enrique elbows him in the face and he takes the agents gun.
1047_Defiance_01.13.36.022-01.13.39.945 	morosely, tuvia watches the people elbowing each other out of the way,
1049_Harry_Potter_and_the_chamber_of_secrets_00.55.39.076-00.55.48.062 	then harry heads for the snitch, closely followed by draco who elbows him out of the way.
