21_JUMP_STREET.srt 	21_JUMP_STREET_DVS34 	00:03:53,00 --> 00:03:58,50 	in another class someone gets an f on a test.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS44 	00:04:45,00 --> 00:04:51,50 	in class, someone gets a test back and pumps his fist.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS65 	00:07:26,00 --> 00:07:30,50 	someone gets on his bike.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS84 	00:11:25,00 --> 00:11:34,50 	getting out with him, someone reads a sign at the entrance printed in korean and english.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS141 	00:22:47,00 --> 00:22:54,50 	in slow motion the undercover cops get out and sling their backpacks over one shoulder.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS180 	00:30:53,00 --> 00:30:58,50 	someone gets a text from someone reading, hallway now.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS232 	00:38:29,00 --> 00:38:35,50 	someone gets distracted by the others and slows.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS399 	01:08:03,00 --> 01:08:14,50 	someone slides over the camaros hood then gets in with his partner.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS404 	01:08:30,00 --> 01:08:37,50 	they ignore the instructor and get in behind the twin steering wheels.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS418 	01:10:47,00 --> 01:10:59,50 	as he jumps up and down on the hood his cohorts get off their bikes and watch.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS421 	01:11:06,00 --> 01:11:12,50 	the bikers get back on the motorcycles and speed after them.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS438 	01:12:57,00 --> 01:13:02,50 	someone gets a text from someone, "where the hell are you?"
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS471 	01:17:07,00 --> 01:17:15,50 	someone and someone get to their feet.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS602 	01:33:18,00 --> 01:33:25,50 	getting up, he aims his gun at a departing biker with a topknot braid.
21_JUMP_STREET.srt 	21_JUMP_STREET_DVS623 	01:34:26,00 --> 01:34:33,50 	someone shoots at the cops then gets in a black stretch limo.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS31 	00:06:27,00 --> 00:06:31,50 	he gets up and thrusts his hips.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS47 	00:10:13,00 --> 00:10:18,50 	at a strip club, someone gets a lap dance.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS63 	00:14:59,00 --> 00:15:04,50 	he briefly gets the upper hand, but someone throws him off.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS65 	00:15:07,00 --> 00:15:12,50 	someone gets him in a chokehold.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS99 	00:23:18,00 --> 00:23:23,50 	someone tries to get up.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS152 	00:40:00,00 --> 00:40:06,50 	someone gets in after someone.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS353 	01:17:26,00 --> 01:17:33,50 	the mustang gets away as the flaming wreck tumbles to a stop on its side.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS30 	00:13:17,00 --> 00:13:23,50 	now, carrying his bike tire, someone gets stuck in smart tech's door.
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS162 	01:21:37,00 --> 01:21:45,50 	his front tire hits a pothole when he gets launched over the handle
40_YEAR_OLD_VIRGIN.srt 	40_YEAR_OLD_VIRGIN_DVS225 	01:50:20,00 --> 01:50:25,50 	he gets under the silky covers.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS68 	00:06:27,00 --> 00:06:31,50 	someone gets up.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS121 	00:24:39,00 --> 00:24:43,50 	she gets on with some copying of her own
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS124 	00:24:52,00 --> 00:24:57,50 	who's just getting on with her copying.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS161 	00:30:22,00 --> 00:30:26,50 	she gets up
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS259 	00:48:05,00 --> 00:48:09,50 	he gets up and puts on a t-shirt.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS307 	00:54:30,00 --> 00:54:35,50 	looks around, then gets up.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS49 	00:03:42,00 --> 00:03:50,50 	now, a shapely brunette gets off the motorcycle and unzips her leather body suit.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS91 	00:08:01,00 --> 00:08:07,50 	he gets out of the car with a small bag and shuts the door.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS243 	00:20:10,00 --> 00:20:24,50 	someone gets in a flatbed truck.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS252 	00:21:56,00 --> 00:22:05,50 	as someone speeds through a stop sign, an intersecting car slides sideways and gets hit head-on by another.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS523 	00:50:47,00 --> 00:50:52,50 	the americans get on their backs and fire up at them.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS528 	00:51:16,00 --> 00:51:21,50 	they get into the military helicopter.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS548 	00:53:13,00 --> 00:53:20,50 	as they slide down, the helicopter gets into position and fires at it.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS556 	00:53:47,00 --> 00:53:52,50 	below, someone and someone get to their feet.
A_THOUSAND_WORDS.srt 	A_THOUSAND_WORDS_DVS164 	00:30:50,00 --> 00:30:56,50 	later someone drives up to the valet and gets out of his car.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS99 	00:10:53,00 --> 00:11:08,50 	the vampire crashes through the dock then gets thrown up along the warehouse shattering the wall.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS106 	00:11:28,00 --> 00:11:35,50 	getting out of bed, someone steps in one of the pots of water.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS119 	00:12:52,00 --> 00:12:56,50 	he gets dressed.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS176 	00:24:00,00 --> 00:24:12,50 	in his room, he slaps down the letter, dons an overcoat and gets his ax.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS412 	00:59:14,00 --> 00:59:19,50 	someone gets off first and helps the others.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS473 	01:07:05,00 --> 01:07:11,50 	moving gingerly, someone gets to his feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS587 	01:21:23,00 --> 01:21:29,50 	someone frowns and gets to his feet, readying his gun.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS610 	01:25:46,00 --> 01:25:57,50 	someone charges someone, but gets knocked off his feet.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS615 	01:26:38,00 --> 01:26:52,50 	as someone ducks a punch, the pair gets jostled atop the last railcar.
