ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS380 	00:53:22,00 --> 00:53:31,50 	now, a window reflects burning candles and frames someone and someone as they walk up to the house.
BURLESQUE.srt 	BURLESQUE_DVS156 	00:22:11,00 --> 00:22:16,50 	the picture reflects her porcelain complexion.
BURLESQUE.srt 	BURLESQUE_DVS505 	01:10:06,00 --> 01:10:14,50 	now a makeup mirror reflects a newspaper photo of someone performing in the burlesque lounge.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS87 	00:13:16,00 --> 00:13:25,50 	as a woman pulls the man away, someone steps up, only his eyes and forehead are reflected above the soldier's collar.
CHASING_MAVERICKS.srt 	CHASING_MAVERICKS_DVS352 	00:32:50,00 --> 00:32:58,50 	the glass of the house's sunroom reflects the three teens as they skateboard in and out of the dry pool.
COLOMBIANA.srt 	COLOMBIANA_DVS788 	01:16:07,00 --> 01:16:15,50 	nearby, a car's side mirror reflects a man smoking a cigar as he watches someone's uncle through sunglasses.
DEAR_JOHN.srt 	DEAR_JOHN_DVS603 	01:23:23,00 --> 01:23:29,50 	the images of passing trees reflect faintly on his windshield.
FRIENDS_WITH_BENEFITS.srt 	FRIENDS_WITH_BENEFITS_DVS319 	01:24:13,00 --> 01:24:18,50 	the glass face of his smart phone reflects
GHOST_RIDER_SPIRIT_OF_VENGEANCE.srt 	GHOST_RIDER_SPIRIT_OF_VENGEANCE_DVS108 	00:17:24,00 --> 00:17:47,50 	the henchman's wide eyes reflect his ghastly flaming visage as the rider cocks his head appraisingly then leans in to peer more closely at the man.
HUGO.srt 	HUGO_DVS758 	01:50:35,00 --> 01:50:42,50 	a train door swings open and reflects the inspector in the glass.
INSIDE_MAN.srt 	INSIDE_MAN_DVS285 	01:27:43,00 --> 01:27:54,50 	reflected in the glass door, two esu officers outside back away with their rifles.
IRON_MAN_2.srt 	IRON_MAN_2_DVS599 	01:43:23,00 --> 01:43:42,50 	at the expo, someone and the drones chase someone as he speeds over a long line of reflecting pools.
ITS_COMPLICATED.srt 	ITS_COMPLICATED_DVS367 	01:43:02,00 --> 01:43:12,50 	daytime, brilliant sunlight reflects off the surface of the pool and brightens someone's face as she sleeps on the lounge chair.
JUST_GO_WITH_IT.srt 	JUST_GO_WITH_IT_DVS132 	00:47:06,00 --> 00:47:15,50 	beyond a large reflecting pool in the lobby, the family arrives.
LAND_OF_THE_LOST.srt 	LAND_OF_THE_LOST_DVS114 	00:36:51,00 --> 00:37:01,50 	someone manipulates her hand until the buckle reflects a beam of sunlight.
LARRY_CROWNE.srt 	LARRY_CROWNE_DVS293 	01:10:23,00 --> 01:10:28,50 	rain reflects against the glass.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS59 	00:03:52,00 --> 00:03:58,50 	the still waters reflect a bengal tiger stalking past.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS523 	00:57:19,00 --> 00:57:29,50 	as it illuminates the sky, we find the boat and raft adrift on perfectly still, glassy waters that reflect the cloudy sky.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS911 	01:31:25,00 --> 01:31:33,50 	the darkness rapidly lightens to a shimmering and opaque surface with reflected grey clouds.
LIFE_OF_PI.srt 	LIFE_OF_PI_DVS1037 	01:40:59,00 --> 01:41:04,50 	light reflects off his glistening face.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS400 	01:17:30,00 --> 01:17:55,50 	golden sunlight shines on its sleek exterior, reflecting the snow-covered ground bordering the woods.
PUBLIC_ENEMIES.srt 	PUBLIC_ENEMIES_DVS590 	01:49:45,00 --> 01:49:52,50 	now at night, a lake reflects city lights.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS136 	00:35:20,00 --> 00:35:27,50 	reflects sunlight.
ROBIN_HOOD.srt 	ROBIN_HOOD_DVS315 	01:16:08,00 --> 01:16:27,50 	now, puffy clouds reflect the moonlight, casting a gentle glow on nottingham's fields as the merry men plot to reclaim the grain.
RUBY_SPARKS.srt 	RUBY_SPARKS_DVS402 	01:03:48,00 --> 01:03:54,50 	his eyeglasses reflecting the well-worn keys.
SANCTUM.srt 	SANCTUM_DVS456 	01:25:31,00 --> 01:25:38,50 	as someone lifts his hand, a trace of light reflects on his palm and fingers.
