0007_DIE_NACHT_DES_JAEGERS_00.05.49.451-00.05.50.718 	the car careens towards us; then swings into the sideyard as we pan, and stops.
0007_DIE_NACHT_DES_JAEGERS_00.11.24.611-00.11.31.748 	bart registers, turns again to the basin, and we pan them back into the original two-shot.
0007_DIE_NACHT_DES_JAEGERS_00.15.00.220-00.15.03.529 	we pan john to the window.
0007_DIE_NACHT_DES_JAEGERS_00.15.07.714-00.15.14.738 	he turns and we pan him to bed.
0007_DIE_NACHT_DES_JAEGERS_00.15.49.923-00.15.53.456 	we pan her into frame uncle birdie steptoe's toy-like little wharf-boat.
0007_DIE_NACHT_DES_JAEGERS_00.16.24.126-00.16.29.476 	as birdie speaks we pan john, and foundered skiff, into two-shot with.
0007_DIE_NACHT_DES_JAEGERS_00.16.38.941-00.16.43.752 	we pan john from skiff to wharf and birdie's door.
0007_DIE_NACHT_DES_JAEGERS_00.21.04.652-00.21.07.931 	he gives willa the eye as we pan to center willa, who looks wooed and self-conscious.
0007_DIE_NACHT_DES_JAEGERS_00.21.11.195-00.21.24.237 	icey enters the shot and whispers and beckons willa and, as the singing continues, they leave the group and start towards a shade tree in medium ground, which we pan to center.
0007_DIE_NACHT_DES_JAEGERS_00.22.22.875-00.22.24.301 	icey pivots and we pan over her to children by river.
0007_DIE_NACHT_DES_JAEGERS_00.29.02.687-00.29.06.708 	as we pull back and pan into full shot of bed she comes to the bed and sits on the edge and slips off her mules.
0007_DIE_NACHT_DES_JAEGERS_00.43.38.309-00.43.47.124 	we pan, with slowly streaming weeds, and bring in willa in close profile; the current, coming from behind her, drifts her long hair across her throat.
0007_DIE_NACHT_DES_JAEGERS_00.45.06.188-00.45.12.791 	as he leaves the tree and walks along the side of the house; we tilt downward and close in, to follow only his feet; he steps past a tiny cellar window and we pan and tighten in close on it, into.
0007_DIE_NACHT_DES_JAEGERS_00.47.39.439-00.47.41.691 	john looks to pearl and we pan her in as preacher's hand named love moves through her locks.
0007_DIE_NACHT_DES_JAEGERS_00.47.43.467-00.47.49.949 	we pan with preacher and icey as they move towards the door.
0007_DIE_NACHT_DES_JAEGERS_01.00.49.318-01.01.03.831 	we pan in a big barn near the river, then a lighted house; willows along shore.
0007_DIE_NACHT_DES_JAEGERS_01.04.58.039-01.05.00.686 	hand in hand, they hurry out of barn and, as we pan, along its side, towards river, o.s.
0007_DIE_NACHT_DES_JAEGERS_01.17.20.717-01.17.32.549 	he tethers his horse and, as we pan and track on behind him, walks to the bottom of the steps; ruby moves into side of shot: beyond preacher, rachel stands behind her screen door, hands folded under apron.
0007_DIE_NACHT_DES_JAEGERS_01.20.40.217-01.20.44.763 	we pan to preacher outside.
0007_DIE_NACHT_DES_JAEGERS_01.27.08.102-01.27.08.882 	we pan to mary and clary.
0007_DIE_NACHT_DES_JAEGERS_01.27.08.882-01.27.09.600 	they turn and we pan with them as they hurry after rachel, and we bring in rachel, charging away from us with her brood hustling to keep up.
0007_DIE_NACHT_DES_JAEGERS_01.27.34.204-01.27.43.369 	we pan rachel and children past this street and they hurry towards ruby, who stands alone in background, facing the jail.
0007_DIE_NACHT_DES_JAEGERS_01.28.36.607-01.28.36.867 	the car jumps fast out of shot and we pan past bart and center rachel and group, walking fast away from us.
0010_Frau_Ohne_Gewissen_00.16.55.217-00.16.57.030 	the camera pans with phyllis dietrichson's feet and ankles as she comes down the stairs, her high heels clicking on the tiles.
0010_Frau_Ohne_Gewissen_00.16.58.976-00.17.00.394 	the camera pans on.
0010_Frau_Ohne_Gewissen_00.22.46.342-00.22.47.477 	the camera pans up the front of the building to the top floor windows, as a little rain starts to fall.
0011_Gandhi_01.31.15.699-01.31.16.488 	the camera is panning slowly along a section of the wall.
0011_Gandhi_01.43.11.231-01.43.11.493 	it pans to the room.
0011_Gandhi_02.14.49.392-02.14.53.072 	the camera pans from them, across a sloping dip in the ground, to a huge group of volunteers lining up to face the police as tautly as the police face them.
0011_Gandhi_02.25.48.434-02.25.55.827 	as the jeep passes the camera we pan with it and see the walls of a palace ahead.
0016_O_Brother_Where_Art_Thou_00.15.01.566-00.15.08.334 	we pan pete over to the shoulder where the car is stopped, its hood propped open.
0020_Raising_Arizona_00.01.15.050-00.01.17.224 	panning a circle of men who sit facing each other in folding chairs.
0020_Raising_Arizona_01.22.16.720-01.22.18.780 	we pan the fire to the sky.
0021_Rear_Window_00.10.09.661-00.10.13.715 	the camera pans her over to him.
0021_Rear_Window_00.16.57.626-00.17.00.641 	the camera pans her over to a third lamp which she turns on.
0021_Rear_Window_00.18.20.334-00.18.23.537 	she turns around quickly and dashes to the door, dropping the cigarette box on the table as she passes, the camera panning with her.
0021_Rear_Window_00.21.59.644-00.22.00.444 	the camera has panned slightly to the woman's living room window.
0021_Rear_Window_00.29.45.011-00.29.49.145 	lisa starts to rise from the divan, the camera panning up.
0021_Rear_Window_00.39.40.863-00.39.45.221 	the camera pans down and we now see that the old lady with the hearing aid is leaning over the fence admonishing the dog.
0021_Rear_Window_00.39.41.673-00.39.44.173 	the camera moves forward, and as it reaches the edge of the window, pans down and shows us what the salesman is looking at.
0021_Rear_Window_00.41.10.088-00.41.13.588 	the man is now moving out of the living room, and the binoculars pan him though to the small kitchen which is seen through a side window.
0021_Rear_Window_00.43.08.362-00.43.09.862 	the camera pans off to the left until it comes to rest on the song-writer's studio.
0021_Rear_Window_00.43.26.162-00.43.26.448 	the camera pans farther left to the salesman's apartment.
0021_Rear_Window_00.43.45.257-00.43.48.257 	when the basket reaches the fire escape, the camera pans on to the apartment of miss torso.
0021_Rear_Window_01.00.57.661-01.00.59.308 	we pan us with the sandwich until jeff's head fills the screen.
0021_Rear_Window_01.01.02.022-01.01.10.178 	the camera pans slightly to the left, as we see the dog being lowered in its basket.
0021_Rear_Window_01.02.49.885-01.02.51.851 	the camera pans from this to the street beyond.
0021_Rear_Window_01.03.26.547-01.03.31.428 	the camera pans him over to the right until he is lost behind the building.
0021_Rear_Window_01.34.26.171-01.34.30.456 	jeff turns his wheelchair halfway around as lisa and stella start quickly for the door, the camera panning them across the room.
0021_Rear_Window_01.42.02.963-01.42.05.108 	the lens pans upward and across until it brings thorwald's profile into the picture.
0021_Rear_Window_01.50.36.893-01.50.41.803 	beginning on jeff's window thermometer, the camera pans from right to left around the neighborhood.
0021_Rear_Window_01.51.40.284-01.51.42.718 	the camera pans past jeff who is asleep in his wheelchair facing away from the window.
0022_Reservoir_Dogs_01.12.52.108-01.13.01.456 	the camera pans away from the sheriffs to freddy, up against the urinal, playing possum, pretending to piss.
0027_The_Big_Lebowski_00.32.12.815-00.32.13.791 	we pan off the dude, driving, to his point of view through the front windshield.
0029_The_Graduate_00.23.22.477-00.23.23.206 	we surface again and pan around for a last look.
1043_Vantage_Point_00.31.32.710-00.31.39.505 	he pans his camera around, and on the lcd screen he sees veronica by the pillar with the young man enrique saw her with.
1043_Vantage_Point_00.34.11.075-00.34.15.703 	howard's camera pans to take in barnes looking upward and speaking into his cuff mic.
1044_Pride_And_Prejudice_Disk_Two_00.03.32.684-00.03.36.479 	he goes over to the paned window.
1061_Harry_Potter_and_the_deathly_hallows_Disk_Two_01.09.15.448-01.09.25.928 	mouth agape, the snake lunges repeatedly at snape, thumping him against the lead paned glass, which shakes, but doesn't give way.
2017_Bad_Santa_01.33.04.019-01.33.05.496 	we pan off of it to find this letter, crudely handwritten, tacked up on a little bulletin board.
2034_Super_8_00.31.58.231-00.32.11.076 	joe moves the camera back to alice -- he looks through the lens -- uses the zoom -- and we see joe's pov -- the crash, zoomed in -- he pans from one car to another.
2034_Super_8_01.08.22.863-01.08.25.528 	mr. harkin points -- joe turns to look -- we pan: the distant.
2034_Super_8_01.13.24.365-01.13.28.894 	the jeep races past camera -- we pan -- revealing as.
2040_The_Ugly_Truth_00.10.20.411-00.10.26.126 	we pan off the television to the bed, where abby now watches, appalled.
2051_Harry_Potter_and_the_goblet_of_fire_00.07.26.300-00.07.36.242 	we pan up the hillside onto a large stadium which seems to have a huge number of floors.
2051_Harry_Potter_and_the_goblet_of_fire_01.53.15.032-01.53.31.829 	heavy mist sets in, we pan out to see the maze is many stories tall.
