0001_American_Beauty_00.38.32.819-00.38.35.559 	jane covers her ears and starts singing to drown her out.
0003_CASABLANCA_00.07.03.611-00.07.08.783 	sam, a middle-aged negro, sits on a stool before a small, salmon-colored piano on wheels, playing and singing while accompanied by a small orchestra.
0003_CASABLANCA_01.12.03.519-01.12.04.627 	rick and laszlo hear male voices singing downstairs.
0003_CASABLANCA_01.12.49.131-01.12.55.861 	laszlo and corina sing as they start to play.
0003_CASABLANCA_01.12.57.971-01.13.00.877 	strasser conducts the german singing in an attempt to drown out the competition.
0003_CASABLANCA_01.13.21.429-01.13.32.712 	ilsa, overcome with emotion, looks proudly at laszlo, who sings with passion.
0003_CASABLANCA_01.13.34.637-01.13.41.415 	finally the whole cafe stands, singing, their faces aglow.
0007_DIE_NACHT_DES_JAEGERS_00.22.18.990-00.22.20.134 	singing continues o.s.
0007_DIE_NACHT_DES_JAEGERS_01.04.08.645-01.04.23.867 	he vanishes beyond trees, his singing more distant.
0007_DIE_NACHT_DES_JAEGERS_01.21.16.278-01.21.21.998 	a descending candle moves past a window; rachel and preacher sing o.s.
0009_Forrest_Gump_00.10.49.085-00.10.53.281 	she hears singing coming from another room and walks over to a closed door.
0009_Forrest_Gump_01.11.02.585-01.11.08.937 	jenny and two other girls sing on the sidewalk and collect change from the passersby.
0009_Forrest_Gump_01.42.17.758-01.42.22.684 	he choir and members are singing.
0014_Ist_das_Leben_nicht_schoen_00.24.10.727-00.24.23.590 	as they near the camera we hear them singing.
0014_Ist_das_Leben_nicht_schoen_00.26.43.963-00.26.48.151 	mary looks at him provocatively, then turns and shuffles off down the street, singing as she goes.
0014_Ist_das_Leben_nicht_schoen_00.45.16.852-00.45.25.230 	there is silence for a moment, then mary joins in singing with the phonograph record which has been playing all through the above scene.
0014_Ist_das_Leben_nicht_schoen_01.13.30.548-01.13.34.333 	mary is now awake, and starts singing their theme song.
0016_O_Brother_Where_Art_Thou_00.25.23.433-00.25.27.192 	the three singing convicts form a semi-circle behind tommy, who plays his guitar into a can microphone.
0016_O_Brother_Where_Art_Thou_00.27.55.395-00.28.05.509 	tommy sits in the background, playing and singing a slow blues.
0016_O_Brother_Where_Art_Thou_00.43.35.007-00.43.46.705 	strangely, the three laundresses do not answer, though they do smile at him as they continue to sing.
0016_O_Brother_Where_Art_Thou_00.44.21.649-00.44.52.591 	none of the women respond but, as all continue to sing, one brings a jug marked with three xes to everett.
0016_O_Brother_Where_Art_Thou_01.25.14.400-01.25.20.838 	everett and the boys, still singing, exchange bemused looks.
0016_O_Brother_Where_Art_Thou_01.41.08.815-01.41.11.682 	the girls sing 'angel band' as the grown-ups talk.
0016_O_Brother_Where_Art_Thou_01.42.01.485-01.42.04.306 	we are now on the wharvey gals who follow in a ragged bunch, still singing.
0016_O_Brother_Where_Art_Thou_01.42.19.095-01.42.29.403 	the blind seer pumps the car along the distant track, singing harmony under the wharvey gals' receding voices.
0017_Pianist_01.10.35.228-01.10.37.407 	a brief silence, then from the back, a solo voice starts to sing, 'children of warsaw will go to fight!'
0017_Pianist_01.10.44.281-01.10.47.982 	they march on, singing lustily.
0019_Pulp_Fiction_01.34.13.096-01.34.32.477 	when the music starts, he sings along with it.
0019_Pulp_Fiction_01.34.37.352-01.34.41.039 	butch is still chuckling, singing along with the song, as we see.
0020_Raising_Arizona_00.28.49.158-00.28.50.279 	the receding roar has left behind eerily beautiful singing, a woman singing a lullaby.
0020_Raising_Arizona_00.29.10.938-00.29.13.117 	she is singing it a lullaby.
0022_Reservoir_Dogs_00.56.10.502-00.56.14.300 	mr. blonde just sings along with stealer's wheel.
0022_Reservoir_Dogs_00.56.13.331-00.56.17.889 	mr. blonde just stares into the cop's face, holding the razor, singing along with the song.
