0002_As_Good_As_It_Gets_00.10.28.109-00.10.30.093 	at times he places his palms together and extends his arms cutting a path through people.
0004_Charade_01.22.23.004-01.22.23.174 	his body is sitting on the floor of the cage, its grotesque sprawling attitude resembling a puppet's with its strings cut.
0004_Charade_01.22.23.315-01.22.23.471 	except that gideon has no strings to cut -- only a throat.
0005_Chinatown_00.36.28.704-00.36.30.017 	eyes open, the face badly cut and bruised.
0007_DIE_NACHT_DES_JAEGERS_00.12.27.422-00.12.27.658 	over these lines we cut briefly to -- chanting, drawing.
0007_DIE_NACHT_DES_JAEGERS_00.12.30.502-00.12.32.522 	as the verse ends we cut to: they look towards our children; john pays them no attention.
0007_DIE_NACHT_DES_JAEGERS_00.15.53.712-00.16.00.047 	as she passes broadside we cut to: as boat passes.
0007_DIE_NACHT_DES_JAEGERS_00.33.24.236-00.33.31.956 	she finishes cutting a skirted paperdoll out of a hundred dollar bill and lays it down beside a male hundred-dollar paper-doll.
0008_Fargo_00.48.05.883-00.48.07.247 	with one last bang we cut.
0008_Fargo_01.07.57.107-01.07.58.332 	his face is deeply bruised and cut.
0009_Forrest_Gump_01.24.56.193-01.25.00.988 	the television cuts to a shot of president nixon standing outside air force one with his hands in the peace sign.
0011_Gandhi_00.07.12.684-00.07.23.186 	he's taken out the ticket but there is a bit of bluster in his attitude and it is cut off by a cold rebuff from the european.
0011_Gandhi_02.34.24.017-02.34.26.876 	we cut from the pennant to see the aircraft stopping before a reception area, a carpet rolled out toward its door.
0011_Gandhi_02.35.27.368-02.35.29.617 	it is cut off by the sound of a door being opened, close.
0012_Get_Shorty_00.48.42.771-00.48.44.598 	yayo leans against the railing, cuts a 'now that's the way you get things done' look at the bear.
0014_Ist_das_Leben_nicht_schoen_00.15.06.333-00.15.07.170 	the noise is cut off by the swinging door.
0014_Ist_das_Leben_nicht_schoen_01.37.13.633-01.37.15.645 	george's mouth is cut and bleeding.
0016_O_Brother_Where_Art_Thou_00.19.09.592-00.19.16.624 	delmar wades out into the stream, cutting in line.
