0005_Chinatown_00.21.13.952-00.21.16.277 	On the desk is a framed, tinted photo of Evelyn in riding clothes.
0005_Chinatown_00.28.07.113-00.28.07.540 	She's wearing riding boots, is perspiring a little, but looks younger than she did in the office.
0011_Gandhi_00.33.45.189-00.33.46.884 	The mounted police riding on, batons at the ready.
0011_Gandhi_00.54.41.238-00.54.42.628 	Gandhi and Charlie are riding on the outside of the coach, hanging on through the door, and both enjoying it immensely.
0014_Ist_das_Leben_nicht_schoen_00.05.16.852-00.05.19.038 	We catch a glimpse of an elderly man riding in it.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.08.34.804-01.08.41.220 	Who now appears in her earth bound form, a young Elven woman with tousled hair, dressed in mud-splattered riding clothes.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.28.30.362-00.28.31.423 	riding away.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.53.54.783-00.53.57.709 	FARAMIR and a few survivors flee WEST OSGILIATH, desperately riding toward MINAS TIRITH.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.42.04.825-02.42.06.949 	GOLLUM clawing FRANTICALLY, riding on the BACK of the INVISIBLE FRODO.
0027_The_Big_Lebowski_00.30.05.256-00.30.06.430 	Ahead the mysterious blonde woman wings away, riding on the Dude's rug like a sheik on a magic carpet.
0032_The_Princess_Bride_00.27.14.970-00.27.28.022 	FEZZIK considers this a moment, then attacks, and if he moved quickly last time, this time he is blinding and as the Man In Black slips down to avoid the charge, FEZZIK moves right with him, only instead of twisting free and jumping to his feet, this time the Man In Black jumps for FEZZIK's back and in a moment he is riding him, and his arms have FEZZIK's throat, locked across FEZZIK's windpipe, one in front, one behind.
1009_Spider-Man3_00.13.55.393-00.13.59.585 	peter is riding along a quiet street in the dark.
1024_Identity_Thief_00.47.16.168-00.47.21.835 	spinning around, diana bends over and big chuck twirls his cowboy hat behind her like riding a bronco.
1029_Pride_And_Prejudice_Disk_One_00.35.07.041-00.35.11.206 	now, jane is riding nellie through a rainstorm.
1029_Pride_And_Prejudice_Disk_One_02.28.49.219-02.28.54.885 	darcy is riding his horse through the woods, a picture of elegance in his top hat and frock coat.
1030_Public_Enemies_01.31.19.609-01.31.23.951 	purvis glares after the car riding steadily away.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.53.15.163-00.53.20.558 	at a gypsy camp in the countryside, men practice their horse riding skills.
1038_The_Great_Gatsby_00.38.47.372-00.38.50.542 	gatsby holds up his business card to the motorcycle cop who's riding alongside them.
1039_The_Queen_00.11.57.876-00.12.02.543 	the mercedes is pursued by four motorcyclists each with photographers riding pillion.
1044_Pride_And_Prejudice_Disk_Two_01.05.02.612-01.05.11.049 	now, he's galloping through the grounds on his white horse, dressed immaculately in bottle-green frock coat, cream breeches, riding boots, and a top hat.
1044_Pride_And_Prejudice_Disk_Two_01.54.05.270-01.54.15.432 	mr. wickham is showing off his riding skills nearby.
1044_Pride_And_Prejudice_Disk_Two_02.07.15.262-02.07.23.997 	the two gentlemen are now on their horses, riding away from longbourn.
1046_Australia_00.30.49.123-00.30.53.000 	she cracks him across the face with a riding crop.
1046_Australia_00.57.21.432-00.57.25.513 	four horsemen approach, riding line abreast.
1046_Australia_01.02.51.462-01.02.55.576 	flynn rides next to nullah on the cliff edge, showing off, riding one-handed.
1055_Marley_and_me_00.02.55.887-00.02.56.821 	sun blazes down on a motor cruiser riding on the glassy calm waters of a quiet bay.
2004_Juno_00.11.27.928-00.11.29.228 	she mounts her bicycle and waves before riding off.
2012_Unbreakable_00.43.07.870-00.43.08.776 	the last thing elijah sees before he blacks out, is the tail of the man's coat riding up as he move through the turnstile.
2027_Les_Miserables_00.14.37.635-00.14.40.254 	the camera hurtling towards three horses riding down a long muddy road on a flat plain towards the walled town of montreuil-sur-mer.
1055_Marley_and_me_00.02.55.887-00.02.56.821 	sun blazes down on a motor cruiser riding on the glassy calm waters of a quiet bay.
2004_Juno_00.11.27.928-00.11.29.228 	she mounts her bicycle and waves before riding off.
2012_Unbreakable_00.43.07.870-00.43.08.776 	the last thing elijah sees before he blacks out, is the tail of the man's coat riding up as he move through the turnstile.
2027_Les_Miserables_00.14.37.635-00.14.40.254 	the camera hurtling towards three horses riding down a long muddy road on a flat plain towards the walled town of montreuil-sur-mer.
2034_Super_8_01.04.19.605-01.04.22.081 	alive is still looking back at the car -- so she doesn't see the shape that is coming behind her -- and just as she decides: i'm not going back, she turns to begin riding on.
2041_This_is_40_00.06.37.143-00.06.40.899 	we see pete in a large group of bikers riding down san vicente.
2041_This_is_40_01.56.35.948-01.56.38.797 	pete exits his home riding his bike.
2041_This_is_40_01.57.50.325-01.57.53.150 	desi is riding with jason.
2041_This_is_40_01.58.38.237-01.58.43.081 	pete starts riding really fast and passes a car.
