0001_American_Beauty_00.54.37.160-00.54.46.143 	The camera JERKS up to discover Jane and Angela staring at us.
0001_American_Beauty_01.26.03.234-01.26.08.393 	He opens the DRAWER in which we know Ricky keeps his marijuana, but he doesn't discover its false bottom.
0001_American_Beauty_01.34.47.724-01.34.51.843 	He's finally discovered a way to break free from his father, and he can't believe it was this simple.
0001_American_Beauty_01.35.20.131-01.35.31.525 	Ricky enters to discover Barbara standing in the middle of the room, clutching a dish, frightened.
0004_Charade_00.50.53.143-00.50.54.001 	CAMERA DOLLIES across an empty cabin to discover REGGIE in the third one, on the phone.
0004_Charade_01.19.27.619-01.19.31.023 	On benches by the water's edge, lovers are surprised by the bright light which suddenly and without warning discovers them in various attitudes of mutual affection.
0031_The_Lost_Weekend_00.09.18.238-00.09.26.472 	Has his brother discovered the other two bottles?
0038_Psycho_00.05.01.567-00.05.03.375 	She stares at him, surprised at his willingness to continue the affair on her terms, as girls are so often surprised when they discover men will continue to want them even after the sexual bait has been pulled in.
0050_Indiana_Jones_and_the_last_crusade_00.28.16.944-00.28.17.417 	Indy has discovered that each Column is numbered with a Roman Numeral.
0050_Indiana_Jones_and_the_last_crusade_01.41.45.858-01.41.52.159 	Everyone turns to discover Indy and his party surrounded by NAZI SOLDIERS.
0053_Rendezvous_mit_Joe_Black_00.35.13.408-00.35.16.272 	Parrish is horribly uncomfortable as the Young Man looks at each person as if he were discovering a face for the first time.
1001_Flight_00.13.21.581-00.13.26.231 	She pulls out a key as she reaches the door, only to discover it is slightly open.
1024_Identity_Thief_00.27.06.006-00.27.07.086 	he discovers the key missing.
1024_Identity_Thief_01.40.23.784-01.40.27.396 	he discovers frannie and jessie decked out in diana-style gaudy makeup.
2004_Juno_00.09.43.657-00.09.45.323 	bleeker is startled to discover that juno is outside waiting for him.
2017_Bad_Santa_00.39.04.437-00.39.13.335 	willie has discovered the master bedroom, by appearances long unused.
2027_Les_Miserables_00.14.32.057-00.14.36.228 	the camera then starts to tumble back down through mist and cloud below - through time and space - down to discover - .
2027_Les_Miserables_00.21.08.730-00.21.13.588 	valjean and javert hurry out across the factory yard and down the muddy track beyond to discover - a heavily laden cart has toppled onto the cart driver - fauchelevent, the worker seen before taking a rest on a crate.
2004_Juno_00.09.43.657-00.09.45.323 	bleeker is startled to discover that juno is outside waiting for him.
2017_Bad_Santa_00.39.04.437-00.39.13.335 	willie has discovered the master bedroom, by appearances long unused.
2027_Les_Miserables_00.14.32.057-00.14.36.228 	the camera then starts to tumble back down through mist and cloud below - through time and space - down to discover - .
2027_Les_Miserables_00.21.08.730-00.21.13.588 	valjean and javert hurry out across the factory yard and down the muddy track beyond to discover - a heavily laden cart has toppled onto the cart driver - fauchelevent, the worker seen before taking a rest on a crate.
