0001_American_Beauty_00.01.57.944-00.02.01.546 	lester thrusts his face directly into a steaming hot shower.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.15.45.668-00.16.05.409 	with glowing flowers as they rain down from the branches.evaporating just above the up turned faces of the delighted party-goers 144 hobbits, feasting and drinking carts of beer and wine are scattered about, and the tables are piled high with steaming scones and savories.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.26.58.397-02.27.14.665 	frodo and sam moving across a hellish dry landscape of twisted volcanic rock and steaming fissures.
0027_The_Big_Lebowski_01.25.50.020-01.25.50.588 	the chief hurls his steaming mug of coffee at the dude.
0032_The_Princess_Bride_01.02.29.867-01.02.33.502 	without a word fezzik stuffs inigo's head into the icy water, then, after a reasonable amount of time, pulls him out, ducks him into the steaming stuff, and, a short time after that, puts him back in the cold again, then back in the hot.
1010_TITANIC_01.38.40.667-01.38.45.769 	in the engine room, the chief engineer spots the telegraph shift and drops a pot of steaming soup.
1010_TITANIC_02.57.20.543-02.57.32.177 	her breath steaming out in clouds, rose swims to the frozen crewman and pulls the whistle from his lips.
1010_TITANIC_02.58.21.668-02.58.23.825 	tears steam down lizzy's face.
1011_The_Help_02.00.45.535-02.00.51.242 	steaming along a straight dirt road between two green fields, kicking up a storm of dust behind her, she sits at the wheel of the ford fairlane station wagon, her lips curling.
1024_Identity_Thief_01.03.18.933-01.03.26.465 	sandy steps out and approaches the steaming hood as diana duct tapes the unconscious skiptracer.
1026_Legion_00.58.00.568-00.58.01.497 	howard's stomach explodes in a shower of steaming liquid.
1037_The_Curious_Case_Of_Benjamin_Button_01.20.44.983-01.20.49.618 	captain mike grits his teeth, then sets the engines full ahead and steams towards the u-boat.
2054_Harry_Potter_and_the_prisoner_of_azkaban_00.13.44.667-00.13.46.738 	harry glances warily from the steaming tureen of green to tom, who works a grimy thumb into his gum, frees a walnut sliver.
