0001_American_Beauty_00.04.31.390-00.04.38.727 	lester sits at his workstation, a beige cubicle surrounded by identical beige cubicles.
0001_American_Beauty_00.17.16.562-00.17.17.584 	angela, fully clothed, is once again surrounded by the other girls.
0003_CASABLANCA_01.13.53.659-01.13.55.327 	several french officers surround laszlo, offering him a drink.
0003_CASABLANCA_01.35.24.531-01.35.25.588 	the entire airport is surrounded by a heavy fog.
0005_Chinatown_01.39.30.645-01.39.33.471 	clearing the kitchen counter, gittes sees ida sessions lying on her back on the floor, surrounded by the groceries from a broken bag.
0006_Clerks_00.33.58.099-00.34.02.394 	an odd man sits on the floor, surrounded by cartons of eggs, all opened.
0007_DIE_NACHT_DES_JAEGERS_00.06.53.581-00.06.55.966 	in b.g.the troopers get out of their cars and fan out cautiously to surround ben: guns in hand.
0007_DIE_NACHT_DES_JAEGERS_00.18.13.244-00.18.15.614 	group shot through door-glass, from john's view point preacher, willa and pearl surround a little table.
0007_DIE_NACHT_DES_JAEGERS_01.07.31.963-01.07.35.788 	she surrounds them and drives them like geese up the bank.
0008_Fargo_00.43.31.205-00.43.33.307 	it is a lakeside cabin surrounded by white.
0009_Forrest_Gump_01.42.44.547-01.42.48.481 	she is surrounded by her many children.
0011_Gandhi_00.04.08.785-00.04.15.631 	and finally we see gandhi lying on the weapon-carrier, surrounded by flowers, a tiny figure in this ocean of grief and reverence.
0016_O_Brother_Where_Art_Thou_00.12.42.552-00.12.43.603 	from high we see a foreshortened lawman holding a bullhorn surrounded by armed deputies.
0016_O_Brother_Where_Art_Thou_01.22.40.067-01.22.42.414 	out in the banquet hall penny and waldrip sit side-by-side at the head table, surrounded by the wharvey gals.
0017_Pianist_02.16.59.664-02.17.02.455 	he peers out to see polish soldiers beginning to surround the ruined building, firing shots, lobbing in a grenade or two.
0020_Raising_Arizona_00.33.49.706-00.33.51.157 	she is surrounded by the rumpled sheets and blankets used by the house guests.
0020_Raising_Arizona_01.15.33.648-01.15.35.090 	close on her hands, we see her putting in a cash packet that is really only a few bills and a sleeve surrounding and hiding a small plastic device.
0022_Reservoir_Dogs_00.46.08.250-00.46.10.518 	pink and mr. blonde surround him and proceed to beat the shit out of him.
0023_THE_BUTTERFLY_EFFECT_00.55.53.309-00.55.56.016 	he stands in the middle of her bedroom, surrounded by sorority plaques and pink preppy decor.
0023_THE_BUTTERFLY_EFFECT_01.05.28.073-01.05.30.330 	evan's car has been trashed and is surrounded by broken glass.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.49.28.244-00.49.30.184 	a thick hedge surrounds the village.a great gate bars the western entrance.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.59.28.792-00.59.32.618 	he is marooned on the tiny, flat peak, surrounded on all sides by a sheer 500 foot drop.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.03.51.361-02.03.53.161 	a huge shadow, surrounded by flame, falls across the hall.the ground shakes.an unearthly sound rumbles.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.12.35.816-02.12.41.196 	the fellowship are suddenly surrounded by armed elves.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.10.45.539-00.10.51.246 	gandalf leads the company through the flotsam and jetsam which floats upon the muddied waters surrounding the tower.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_00.33.26.505-00.33.34.317 	gandalf leads pippin across a flat court of white stones, surrounded by green lawns towards a great hall beneath.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.24.07.833-01.24.10.392 	silence surrounds them, there are no birds, no wind.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.28.25.049-01.28.37.269 	aragorn, legolas and gimli are now surrounded by an army of the dead.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.32.54.426-02.33.01.087 	of aragorn's army, totally surrounded by 300,000 orcs poised for the order to attack!
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_02.36.26.767-02.36.30.282 	aragorn and company watch as they are surrounded by a tide of orcs.
0030_The_Hustler_00.24.45.265-00.24.46.477 	a floor full of cigarette butts surround charlie's chair.
0041_The_Sixth_Sense_00.56.00.547-00.56.06.168 	tiny statues of saints surround the interior perimeter.
0041_The_Sixth_Sense_01.22.01.268-01.22.06.300 	mrs. collins is seated at the dining room surrounded by friends and family.
0049_Hannah_and_her_sisters_00.02.03.768-00.02.07.992 	people, some holding drinks, some just entering the apartment, surround her.
0049_Hannah_and_her_sisters_01.23.30.647-01.23.40.629 	guests are crowded together in the living room, surrounding the piano, where evan is sitting and flipping through some sheet music.
0050_Indiana_Jones_and_the_last_crusade_00.32.08.016-00.32.15.358 	as indy falls through the hole in the wall onto rocks surrounded by bubbling, green, slimy liquid.
0050_Indiana_Jones_and_the_last_crusade_00.32.15.358-00.32.18.829 	more skeletons surround him, resting in their carved niches.
0050_Indiana_Jones_and_the_last_crusade_01.21.34.497-01.21.36.697 	the sultan is seated in his royal chair, flanked by walter donovan and vogel and surrounded by his minions.
0050_Indiana_Jones_and_the_last_crusade_01.41.45.858-01.41.52.159 	everyone turns to discover indy and his party surrounded by nazi soldiers.
0051_Men_in_black_00.10.54.122-00.10.55.100 	the weapon smashes into the stone wall surrounding central park and shatters into a million pieces.
