0001_American_Beauty_00.32.23.830-00.32.26.527 	lester looks away, scans the crowd, then downs the rest of his drink in one gulp.
0004_Charade_00.05.50.616-00.05.51.523 	camera pans down to include jean-louis, his hand held firmly by the man in the mask.
0028_The_Crying_Game_01.24.22.704-01.24.24.408 	she downs a drink and motions for another.
0030_The_Hustler_00.01.59.575-00.02.11.170 	he downs his bourbon, weaves a bit, bends over the table, and awkwardly pokes at the white cue ball with his stick, missing an easy shot.
0030_The_Hustler_00.05.41.401-00.05.51.185 	then he downs his drink and quickly strokes out his shot, the ball banking crisply and directly into the corner pocket.
0030_The_Hustler_01.58.02.369-01.58.22.906 	he pours himself a drink and downs it in one gulp, walks to the door, listens, and opens it himself without knocking.
0031_The_Lost_Weekend_00.28.02.386-00.28.03.404 	he downs the jigger of rye.
1015_27_Dresses_01.19.43.279-01.19.54.350 	having downed casey's drink, jane heads for tess and george.
1017_Bad_Santa_00.26.07.817-00.26.08.483 	they down them in one.
1024_Identity_Thief_00.02.19.815-00.02.23.145 	she downs a shot with the guys.
1030_Public_Enemies_01.44.13.187-01.44.27.329 	in the outer office, the burly agent downs a paper cup of water and passes doris, who glares at him as he returns to the interrogation room.
1033_Sherlock_Holmes_A_Game_of_Shadows_00.22.54.539-00.22.56.645 	holmes downs his drink.
1034_Super_8_00.57.36.720-00.57.38.783 	he takes her hand to help her down off the desk.
1037_The_Curious_Case_Of_Benjamin_Button_01.42.59.041-01.43.12.595 	in front of the lake house, benjamin lifts thomas out of the wheelchair and carries him over his shoulders down to a jetty which leads out into the waters of the vast lake.
1039_The_Queen_00.32.54.614-00.33.00.167 	outside 10 downing street, a car stops and allister emerges from a backseat door, carrying some papers.
1046_Australia_00.07.06.730-00.07.11.207 	drover downs a drink and up-ends his glass.
1046_Australia_00.35.04.808-00.35.08.000 	she downs her tea cup of rum at a gulp.
1046_Australia_01.25.13.831-01.25.18.729 	they down the powerful brew, gasping at the strength.
1048_Gran_Torino_00.20.45.454-00.20.47.764 	walt downs his shot in one.
1052_Harry_Potter_and_the_order_of_phoenix_00.39.43.233-00.39.52.559 	umbridge stands in front of harry and smiles sweetly down at him, her eyebrows raised.
2017_Bad_Santa_00.12.19.602-00.12.24.406 	he downs the beer and steps into the adjoining bathroom to brush his teeth.
