0003_CASABLANCA_01.25.41.448-01.25.42.888 	They flatten themselves against a wall to avoid detection.
0010_Frau_Ohne_Gewissen_01.12.06.902-01.12.07.283 	Phyllis moves away quickly and flattens herself against the wall behind the opening door.
0020_Raising_Arizona_01.13.14.287-01.13.15.254 	The sun behind him throws him into silhouette; the extreme telephoto flattens him against the sun.
0025_THE_LORD_OF_THE_RINGS_THE_RETURN_OF_THE_KING_01.33.24.281-01.33.28.262 	BOULDERS flatten ORCS.
1005_Signs_00.04.43.065-00.04.57.387 	He swallows hard and tentatively steps forward onto a sea of flattened maize stalks.
1005_Signs_00.04.57.387-00.04.58.112 	Graham stares in wonder as he, Merrill, Morgan and Bo come to the perimeter of a vast circular expanse of flattened maize.
1005_Signs_00.36.35.490-00.36.44.528 	A pale gray light fills the vast perfect circle of evenly flattened corn.
1014_2012_01.00.00.149-01.00.03.155 	a blinding flash fills the sky, then a vast wave of energy flattens the remaining trees.
1052_Harry_Potter_and_the_order_of_phoenix_01.29.15.508-01.29.18.958 	the giant flattens a bird between his huge hands.
2026_Legion_00.12.41.370-00.12.41.471 	kyle grabs a crumpled hand drawn map from the front seat and flattens it out on the roof of the car.
2026_Legion_00.12.41.370-00.12.41.471 	kyle grabs a crumpled hand drawn map from the front seat and flattens it out on the roof of the car.
