0001_American_Beauty_00.01.39.471-00.01.40.273 	Lester gropes blindly to shut it off.
0001_American_Beauty_00.01.39.471-00.01.40.273 	Lester gropes blindly to shut it off.
0004_Charade_01.06.41.358-01.06.43.738 	Although she is still not high enough to see anything, by standing on tip-toes she is able to reach with her hand over the top and grope around blindly.
0008_Fargo_00.48.50.537-00.48.52.097 	Marge gropes in the dark.
0010_Frau_Ohne_Gewissen_00.04.19.256-00.04.32.354 	He takes one, puts it between his lips, gropes around for a match, lights cigarette.
0011_Gandhi_00.15.36.065-00.15.38.407 	Gandhi, his head bleeding badly now, rises to his knees -- a breath and he gropes around the ground for another card.
0011_Gandhi_00.15.33.972-00.15.37.908 	The sergeant draws a breath, grasping the club, but he bites his lip as he sees Gandhi lift his head feebly, his shaking hands, stained with his own blood, groping for another card.
0013_Halloween_01.17.47.576-01.17.48.670 	The shape reaches through, groping for the lock.
0016_O_Brother_Where_Art_Thou_00.33.01.543-00.33.07.332 	The driver shoots a glance up to the rearview mirror as the sirens grow louder, then gropes inside his coat.
0021_Rear_Window_01.33.25.884-01.33.29.923 	There is a pause as Thorwald gropes for an answer.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_01.34.41.342-01.34.42.772 	A shadow passes across Bilbo.for a split second he becomes a wrinkled creature with a hungry face and Bony, groping hands.
0027_The_Big_Lebowski_00.05.04.423-00.05.05.187 	The Dude gropes back in the toilet with one hand.
0030_The_Hustler_00.34.16.573-00.34.27.966 	Eddie gropes through his pockets and comes up with a few crumpled bills.
0038_Psycho_01.17.31.516-01.17.34.118 	He frantically gropes for the balustrade as he goes backwards down the stairs.
0043_Thelma_and_Luise_01.29.39.300-01.29.42.640 	Louise stops yelling for a moment groping for self-control.
1011_The_Help_02.03.31.789-02.03.36.918 	charlotte gropes for skeeter's hand.
1031_Quantum_of_Solace_01.09.48.848-01.09.58.112 	she venches open the outside door for bond, who gropes for his chute, then hauls on the stick to get out of the plane over the hill
1055_Marley_and_me_00.42.44.577-00.42.50.784 	john glances at jenny and gropes to break the silence.
2005_Signs_00.38.01.276-00.38.04.317 	graham kneels down and gropes in the darkness.
1055_Marley_and_me_00.42.44.577-00.42.50.784 	john glances at jenny and gropes to break the silence.
2005_Signs_00.38.01.276-00.38.04.317 	graham kneels down and gropes in the darkness.
