30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS129 	00:34:37,00 --> 00:34:41,50 	the cashier scans the items.
30_MINUTES_OR_LESS.srt 	30_MINUTES_OR_LESS_DVS282 	01:05:26,00 --> 01:05:31,50 	stepping around the corner he scans the area.
500DAYSOFSUMMER.srt 	500DAYSOFSUMMER_DVS332 	01:01:15,00 --> 01:01:20,50 	he scans left and right looking for a space
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS435 	00:42:07,00 --> 00:42:11,50 	taking point, someone cautiously scans his surroundings with his weapon ready, as he leads the others in.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS653 	01:07:13,00 --> 01:07:18,50 	scanning the mezzanine level, someone leads them forward.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS769 	01:16:14,00 --> 01:16:22,50 	as the old man leans on a rack, someone scans the room.
A_GOOD_DAY_TO_DIE_HARD.srt 	A_GOOD_DAY_TO_DIE_HARD_DVS792 	01:19:44,00 --> 01:19:49,50 	his eyes scan the large cluttered room.
ABRAHAM_LINCOLN_VAMPIRE_HUNTER.srt 	ABRAHAM_LINCOLN_VAMPIRE_HUNTER_DVS205 	00:27:53,00 --> 00:27:58,50 	she turns and scans the room.
BIG_MOMMAS_LIKE_FATHER_LIKE_SON.srt 	BIG_MOMMAS_LIKE_FATHER_LIKE_SON_DVS386 	01:01:53,00 --> 01:01:59,50 	from a window, someone scans the quad with his binoculars.
BURLESQUE.srt 	BURLESQUE_DVS627 	01:33:49,00 --> 01:33:58,50 	scanning the living room, she finds an article of clothing.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS61 	00:08:49,00 --> 00:08:55,50 	the doctor scans rogers' long medical file.
CAPTAIN_AMERICA.srt 	CAPTAIN_AMERICA_DVS341 	01:03:22,00 --> 01:03:39,50 	someone scans his surroundings, then pulls out his pistol as he continues on.
