0011_Gandhi_00.24.26.381-00.24.29.300 	ba settles back defiantly.
0021_Rear_Window_00.07.45.201-00.07.48.324 	she settles into a folding, canvas deck chair.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.27.58.020-00.28.02.332 	his eyes settle on one old parchment.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_00.55.36.007-00.55.39.241 	pippin stirs slightly, then settles back to sleep.
0024_THE_LORD_OF_THE_RINGS_THE_FELLOWSHIP_OF_THE_RING_02.15.04.925-02.15.06.611 	galadriel's eyes settle on sam.
0026_The_Big_Fish_00.24.13.321-00.24.14.437 	edward ponders the best response, settling on.
0027_The_Big_Lebowski_01.00.04.151-01.00.04.973 	his crinkled eyes settle on the dude.
0028_The_Crying_Game_00.03.37.735-00.03.39.144 	they settle on a tall dark- haired man in a dark jacket.
1001_Flight_01.47.46.040-01.47.50.240 	he settles for vodka.
1005_Signs_01.05.11.043-01.05.17.727 	merrill and bo lower their arms, morgan settles himself back down on the sofa.
1019_Confessions_Of_A_Shopaholic_00.51.25.449-00.51.29.262 	she whacks him again, but then settles back in his arms.
1030_Public_Enemies_01.33.04.248-01.33.12.274 	the ford careens into a field and rolls twice before settling on its tires.
1033_Sherlock_Holmes_A_Game_of_Shadows_01.41.01.250-01.41.02.916 	his eyes settle on the man in a black uniform.
1039_The_Queen_00.39.55.531-00.39.59.104 	charles settles into the passenger seat.
1044_Pride_And_Prejudice_Disk_Two_00.09.43.291-00.09.47.674 	she settles down on a large tree stump.
1049_Harry_Potter_and_the_chamber_of_secrets_02.16.51.782-02.17.00.136 	dumbledore's phoenix whoops down and settles beside harry.
1050_Harry_Potter_and_the_deathly_hallows_Disk_One_00.18.38.619-00.18.44.220 	as harry settles back into the sidecar, the engine fails.
1051_Harry_Potter_and_the_goblet_of_fire_01.00.41.058-01.00.46.116 	the dragon settles on a nearby turret.
