0001_American_Beauty_00.03.18.327-00.03.22.048 	JANE is seated at her desk, working at her computer.
0001_American_Beauty_00.11.02.154-00.11.21.276 	We see Carolyn, working with fierce concentration as she: Cleans glass doors that overlook the patio and pool; Doggedly scrubs countertops in the kitchen; Perches on a stepladder to dust a cheap-looking ceiling fan in the master bedroom; And vacuums a dirty carpet that will never be clean.
0001_American_Beauty_00.03.18.327-00.03.22.048 	JANE is seated at her desk, working at her computer.
0001_American_Beauty_00.11.02.154-00.11.21.276 	We see Carolyn, working with fierce concentration as she: Cleans glass doors that overlook the patio and pool; Doggedly scrubs countertops in the kitchen; Perches on a stepladder to dust a cheap-looking ceiling fan in the master bedroom; And vacuums a dirty carpet that will never be clean.
0001_American_Beauty_01.15.25.348-01.15.26.283 	His working out is beginning to produce results.
0002_As_Good_As_It_Gets_01.01.16.131-01.01.20.301 	As Simon works to stop crying, Melvin is weird with discomfort.
0002_As_Good_As_It_Gets_01.09.09.523-01.09.12.895 	Carol seated working on a letter.
0004_Charade_00.20.26.265-00.20.41.690 	He works at a stain on his necktie with lighter fluid and hankie.
0004_Charade_00.42.47.692-00.42.54.868 	He then runs the thread along the floor to his door (next door) and works it underneath.
0004_Charade_00.58.47.793-00.59.15.748 	She continues working on his back, cleaning it, then bandaging it while they talk.
0004_Charade_01.40.50.058-01.40.52.002 	It takes him a few precious seconds to work his way around them.
0005_Chinatown_00.40.47.556-00.41.00.440 	Gittes carefully works his way up through the thick Foliage toward a second and large chain-link fence.
0005_Chinatown_01.17.39.497-01.17.42.475 	Gittes strolls toward the women knitting and working on the quilt.
0007_DIE_NACHT_DES_JAEGERS_00.05.32.081-00.05.37.079 	They are working together on PEARL'S doll; PEARL is dressing her, while JOHN gets on a difficult shoe.
0007_DIE_NACHT_DES_JAEGERS_00.14.12.951-00.14.14.697 	A square, HEAD-ON SHOT, river water below and vibrant starlight above; featuring a gas-lamp by the road; a tree; and pretty tree-shadows which work across a window.
0007_DIE_NACHT_DES_JAEGERS_01.08.24.087-01.08.25.517 	If we saw her face, her lips would be pursed and working with anger.
